SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION, ,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,j,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,65-38 Booth St Unit 1E,Rego Park,NY,11374,169000,0,1,65-38 Owners Corp,500,,1950,1,338,,Active,,,http://www.redfin.com/NY/Flushing/65-38-Booth-St-11374/unit-1E/home/170231919,MLSLI,3190326,N,Y,40.726787,-73.858789
MLS Listing,,Condo/Co-op,130 Beach 121 St Unit 4A,Rockaway,NY,11694,169900,0,1,Rockaway,600,,1963,1,283,,Active,,,http://www.redfin.com/NY/Rockaway-Park/130-Beach-121st-St-11694/unit-4A/home/59307401,BNYMLS,435759,N,Y,40.5766006,-73.8401978
MLS Listing,,Condo/Co-op,87-40 Francis Lewis Blvd Unit B42,Queens Village,NY,11427,175000,1,1,Hilltop Village,740,,1950,1,,,Active,,,http://www.redfin.com/NY/Queens-Village/87-40-Francis-Lewis-Blvd-11427/unit-B-42/home/148125040,MLSLI,3189863,N,Y,40.7224173,-73.7616979
MLS Listing,,Condo/Co-op,530 Riverdale Ave Unit 5K,Yonkers,NY,10705,128500,1,1,Yonkers,750,,1956,1,171,,Active,,,http://www.redfin.com/NY/Yonkers/530-Riverdale-Ave-10705/unit-5K/home/168984878,HGMLS,6000446,N,Y,40.9140754,-73.9019492
MLS Listing,,Condo/Co-op,3176 Decatur Ave Unit 4G,Bronx,NY,10467,155000,1,1,Bronx,650,,1955,2,238,,Active,,,http://www.redfin.com/NY/The-Bronx/3176-Decatur-Ave-10467/unit-4G/home/44764017,HGMLS,6000487,N,Y,40.8731518,-73.875766
MLS Listing,,Condo/Co-op,10 E 43rd St Unit 5j,Brooklyn,NY,11203,150000,1,1,East Flatbush,750,750,1956,3,200,650,Active,January-8-2020 07:00 PM,January-8-2020 07:30 PM,http://www.redfin.com/NY/Brooklyn/10-E-43rd-St-11203/unit-5j/home/160395239,SIBORMLS,1134603,N,Y,40.6555346,-73.9379282
MLS Listing,,Condo/Co-op,1480 Thieriot Ave Unit 4B,Bronx,NY,10460,129000,1,1,Bronx,850,,1965,6,152,,Active,,,http://www.redfin.com/NY/Bronx/1480-Thieriot-Ave-10460/unit-4B/home/144911632,HGMLS,6000685,N,Y,40.8372687,-73.8651373
MLS Listing,,Condo/Co-op,2251 Knapp St Unit 3F,Brooklyn,NY,11229,149000,1,1,Brooklyn,750,,1955,6,199,,Active,,,http://www.redfin.com/NY/Brooklyn/2251-Knapp-St-11229/unit-3F/home/170194867,BNYMLS,435623,N,Y,40.598354,-73.9335111
MLS Listing,,Condo/Co-op,2026 Pearson St Unit 69A,Brooklyn,NY,11234,163000,1,1,Brooklyn,750,,,6,217,,Active,,,http://www.redfin.com/NY/Brooklyn/2026-Pearson-St-11234/unit-69A/home/170194450,BNYMLS,435616,N,Y,40.6136161,-73.9196583
MLS Listing,,Condo/Co-op,20 Cliff St Unit 3r,Staten Island,NY,10305,175000,0,1,Fort Wadsworth,617,617,1965,6,284,534,Active,,,http://www.redfin.com/NY/Staten-Island/20-Cliff-St-10305/unit-3R/home/77417705,SIBORMLS,1134527,N,Y,40.6109595,-74.060351
