SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),31-51 45th St,Astoria,NY,11103,1400000,6,3,Astoria,,1740,1940,1,,,Active,,,http://www.redfin.com/NY/Long-Island-City/31-51-45th-St-11103/home/20951716,MLSLI,3191420,N,Y,40.758025,-73.913941
MLS Listing,,Multi-Family (2-4 Unit),1595 Pelham Pkwy N,Bronx,NY,10469,1469000,6,5.5,Bronx,3364,,1950,1,437,,Active,,,http://www.redfin.com/NY/The-Bronx/1595-Pelham-Pkwy-N-10469/home/44789472,HGMLS,6003939,N,Y,40.8580706,-73.8402293
MLS Listing,,Multi-Family (2-4 Unit),145-07 11th Ave,Whitestone,NY,11357,1288000,6,4,Whitestone,3420,4118,1951,3,377,,Active,,,http://www.redfin.com/NY/Flushing/145-07-11th-Ave-11357/home/20867223,MLSLI,3190992,N,Y,40.790261,-73.8209399
MLS Listing,,Multi-Family (2-4 Unit),145-05 11th Ave,Whitestone,NY,11357,1388000,9,4,Whitestone,3842,3755,1951,3,361,,Active,,,http://www.redfin.com/NY/Flushing/145-05-11th-Ave-11357/home/20867364,MLSLI,3190987,N,Y,40.790204,-73.821167
MLS Listing,,Multi-Family (2-4 Unit),24-34 89th St,E. Elmhurst,NY,11369,1380000,7,4,E.Elmhurst,3232,3569,1989,3,427,,Active,,,http://www.redfin.com/NY/Flushing/24-34-89th-St-11369/home/20941192,MLSLI,3190959,N,Y,40.764684,-73.880526
MLS Listing,,Multi-Family (2-4 Unit),350 Broadway,Staten  Island,NY,10310,1299000,6,2,Staten  Island,3150,1672,1930,4,412,,Active,,,http://www.redfin.com/NY/Staten-Island/350-Broadway-10310/home/170242557,BNYMLS,435818,N,Y,40.632541,-74.1169993
MLS Listing,,Multi-Family (2-4 Unit),739 45 St,Brooklyn,NY,11220,1480000,6,2,Brooklyn,3240,2003,1930,4,457,,Active,,,http://www.redfin.com/NY/Brooklyn/739-45th-St-11220/home/40691481,BNYMLS,435812,N,Y,40.644624,-74.001544
MLS Listing,,Single Family Residential,45-52 Auburndale Ln,Flushing,NY,11358,1380000,6,4.5,Flushing,,4191,1935,4,,,Active,,,http://www.redfin.com/NY/Flushing/45-52-Auburndale-Ln-11358/home/20839402,MLSLI,3190573,N,Y,40.7540671,-73.7948211
MLS Listing,,Multi-Family (2-4 Unit),2174 Bathgate Ave,Bronx,NY,10457,1250000,12,4.5,Bronx,4375,4974,1901,4,286,,Active,,,http://www.redfin.com/NY/The-Bronx/2174-Bathgate-Ave-10457/home/44718699,HGMLS,6002890,N,Y,40.8524635,-73.8935544
MLS Listing,,Multi-Family (2-4 Unit),424 50 St,Brooklyn,NY,11220,1499000,6,3,Brooklyn,3012,2004,1901,4,498,,Active,,,http://www.redfin.com/NY/Brooklyn/424-50th-St-11220/home/40693032,MLSLI,3190507,N,Y,40.64585,-74.012043
MLS Listing,,Multi-Family (2-4 Unit),26-25 30th St,Astoria,NY,11106,1350000,6,3,Astoria,2886,1800,1910,5,468,,Active,,,http://www.redfin.com/NY/Long-Island-City/26-25-30th-St-11102/home/20955676,MLSLI,3190308,N,Y,40.769577,-73.91947
MLS Listing,,Multi-Family (2-4 Unit),46-35 Bowne St,Flushing,NY,11355,1388000,6,5,Flushing,,2850,2002,5,,,Active,,,http://www.redfin.com/NY/Flushing/46-35-Bowne-St-11355/home/20666444,MLSLI,3190301,N,Y,40.751615,-73.815552
MLS Listing,,Multi-Family (2-4 Unit),41 New Ave,Yonkers,NY,10704,1250000,10,3,Yonkers,6832,6834,1995,5,183,,Active,,,http://www.redfin.com/NY/Yonkers/41-New-Ave-10704/home/20157008,HGMLS,6001840,N,Y,40.9052265,-73.8601233
MLS Listing,,Multi-Family (2-4 Unit),420 74 St,Brooklyn,NY,11209,1295000,9,2,Brooklyn,2640,1514,1899,6,491,,Active,,,http://www.redfin.com/NY/Brooklyn/420-74th-St-11209/home/170224987,BNYMLS,435748,N,Y,40.6310586,-74.0242414
MLS Listing,,Single Family Residential,85-24 Forest Pkwy,Woodhaven,NY,11421,1299000,7,3,Woodhaven,,5000,1910,7,,,Active,,,http://www.redfin.com/NY/Jamaica/85-24-Forest-Pkwy-11421/home/20788724,MLSLI,3189788,N,Y,40.694843,-73.862253
MLS Listing,,Multi-Family (2-4 Unit),2663 E 64 St,Brooklyn,NY,11234,1399000,7,4,Brooklyn,2640,2900,1960,7,530,,Active,,,http://www.redfin.com/NY/Brooklyn/2663-E-64th-St-11234/home/40906064,BNYMLS,435722,N,Y,40.6074476,-73.9112853
MLS Listing,,Multi-Family (2-4 Unit),7807 18 Ave,Brooklyn,NY,11214,1499000,6,6,Brooklyn,5100,2504,1931,7,294,,Active,,,http://www.redfin.com/NY/Brooklyn/7807-18th-Ave-11214/home/40826703,BNYMLS,435721,N,Y,40.6113368,-73.9977635
MLS Listing,,Townhouse,117 Bay 28 St,Brooklyn,NY,11214,1400999,7,4,Bensonhurst,2897,3840,1925,8,484,,Active,,,http://www.redfin.com/NY/Brooklyn/117-Bay-28th-St-11214/home/40831842,SIBORMLS,1134605,N,Y,40.6003217,-73.9975798
MLS Listing,,Multi-Family (2-4 Unit),138 Glen St,Cypress Hills,NY,11208,1299000,8,4,Cypress Hills,,2500,2020,9,,,Active,,,http://www.redfin.com/NY/Brooklyn/138-Glen-St-11208/home/170215102,MLSLI,3189265,N,Y,40.6808596,-73.8704431
MLS Listing,,Multi-Family (2-4 Unit),136 Glen St,Cypress Hills,NY,11208,1299000,8,7,Cypress Hills,,2500,2020,9,,,Active,,,http://www.redfin.com/NY/Brooklyn/136-Glen-St-11208/home/40763994,MLSLI,3189256,N,Y,40.680833,-73.8705519
