SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,64 Discala Ln,Staten Island,NY,10312,1580000,0,,Annadale,,10842,,1,,,Active,,,http://www.redfin.com/NY/Unknown/64-Discala-Ln-10312/home/106163500,SIBORMLS,1134832,N,Y,40.5242749,-74.1706045
MLS Listing,,Condo/Co-op,140 W 22nd St Unit 8C,New York,NY,10011,1695000,1,1.5,Chelsea,1115,,1911,1,1520,,Active,,,http://www.redfin.com/NY/New-York/140-W-22nd-St-10011/home/45221934,REBNY,UCOM417039,N,Y,40.7427833,-73.9950623
MLS Listing,,Condo/Co-op,196 Orchard St Unit PHG,New York,NY,10002,1750000,1,1,Lower East Side,786,,2017,4,2226,,Active,,,http://www.redfin.com/NY/New-York/196-Orchard-St-10002/home/170248004,REBNY,SEEK1865196,N,Y,40.7222717,-73.9878326
MLS Listing,,Condo/Co-op,502 Park Ave Unit 8H,New York,NY,10022,1595000,1,1,Upper East Side,680,,1929,4,2346,,Active,,,http://www.redfin.com/NY/New-York/502-Park-Ave-10022/home/45130735,REBNY,TRMP1865122,N,Y,40.7632213,-73.9702578
MLS Listing,,Condo/Co-op,2 Horatio St Unit 17R,New York,NY,10014,1595000,1,1,West Village,,,1931,4,,,Active,,,http://www.redfin.com/NY/New-York/2-Horatio-St-10014/home/45335006,REBNY,BHSR19965555,N,Y,40.7385473,-74.0026807
MLS Listing,,Condo/Co-op,200 E 69th St Unit 19D,New York,NY,10021,1580000,1,1.5,Upper East Side,874,,1991,6,1808,,Active,,,http://www.redfin.com/NY/New-York/200-E-69th-St-10021/home/45286135,REBNY,212C1864629,N,Y,40.76751,-73.961754
MLS Listing,,Condo/Co-op,200 E 21st St Unit 2C,New York,NY,10010,1675000,1,1,Gramercy Park,880,,1920,6,1903,,Active,,,http://www.redfin.com/NY/New-York/200-E-21st-St-10010/home/170225097,REBNY,DEGI2849586,N,Y,40.73734,-73.9838176
MLS Listing,,Condo/Co-op,136 Waverly Pl Unit 11D,New York,NY,10014,1550000,1,1,Greenwich Village,,,1928,6,,,Active,,,http://www.redfin.com/NY/New-York/136-Waverly-Pl-10014/home/45143026,REBNY,UCOM46529,N,Y,40.7330008,-74.0005218
MLS Listing,,Condo/Co-op,395 Broadway Unit 5b,New York,NY,10013,1589000,0,1,Off Island,1089,1089,1915,7,1459,681,Active,,,http://www.redfin.com/NY/New-York/395-Broadway-10013/unit-5B/home/45238297,SIBORMLS,1134629,N,Y,40.7186447,-74.0027967
MLS Listing,,Condo/Co-op,70 Charlton St Unit 10G,New York,NY,10014,1650000,1,1,Soho,824,,,10,2002,,Active,,,http://www.redfin.com/NY/New-York/70-Charlton-St-10014/home/114692188,REBNY,EXTE107161,N,Y,40.7270799,-74.0063219
MLS Listing,,Condo/Co-op,347 W 57th St Unit 34D,New York,NY,10019,1500000,1,2,Middle West Side,,,1982,12,,,Active,,,http://www.redfin.com/NY/New-York/347-W-57th-St-10019/home/45263625,REBNY,CORC5953713,N,Y,40.7678349,-73.9846922
MLS Listing,,Condo/Co-op,252 South St Unit 47N,New York,NY,10002,1680000,1,1,Chinatown,723,,,13,2324,,Active,,,http://www.redfin.com/NY/New-York/252-South-St-10002/home/170188119,REBNY,EXTE107067,N,Y,40.7110409,-73.9911744
