SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1810 Glenwood Rd,Brooklyn,NY,11230,1549000,7,3,Brooklyn,2931,5000,1910,1,528,,Active,,,http://www.redfin.com/NY/Brooklyn/1810-Glenwood-Rd-11230/home/40842239,BNYMLS,435912,N,Y,40.6324771,-73.959471
MLS Listing,,Multi-Family (2-4 Unit),1010 57 St,Brooklyn,NY,11219,1700000,12,6,Brooklyn,5270,2346,1920,1,323,,Active,,,http://www.redfin.com/NY/Brooklyn/1010-57th-St-11219/home/40807035,BNYMLS,435876,N,Y,40.6341384,-74.0032676
MLS Listing,,Multi-Family (2-4 Unit),14-36 Waters Edge Dr Unit Bay Terrace - Bayside,Bayside,NY,11360,1599000,7,5,Bayside,3287,7350,1980,1,486,,Active,January-18-2020 01:00 PM,January-18-2020 03:00 PM,http://www.redfin.com/NY/Flushing/14-36-Waters-Edge-Dr-11360/unit-Bay-Terrace-Bay-Side/home/170270791,MLSLI,3191191,N,Y,40.787432,-73.777935
MLS Listing,,Multi-Family (2-4 Unit),1413 Saint Marks Ave,Brooklyn,NY,11233,1650000,6,4.5,Crown Heights,3000,,,3,550,,Active,,,http://www.redfin.com/NY/Brooklyn/1413-St-Marks-Ave-11233/home/40715530,REBNY,HALS19885114,N,Y,40.673902,-73.921223
MLS Listing,,Multi-Family (2-4 Unit),149 Bay 14 St,Brooklyn,NY,11214,1680000,8,3,Brooklyn,1800,3204,1930,3,933,,Active,,,http://www.redfin.com/NY/Brooklyn/149-Bay-14th-St-11214/home/40831508,BNYMLS,435858,N,Y,40.6060939,-74.0085519
MLS Listing,,Multi-Family (2-4 Unit),1368 Bay Ridge Ave,Brooklyn,NY,11219,1699000,5,3,Brooklyn,2923,4000,1925,3,581,,Active,,,http://www.redfin.com/NY/Brooklyn/1368-Bay-Ridge-Ave-11228/home/40821050,BNYMLS,435839,N,Y,40.622562,-74.0024462
MLS Listing,,Multi-Family (2-4 Unit),39-11 210th St,Bayside,NY,11361,1580000,7,5,Bayside,3080,2567,1927,3,513,,Active,,,http://www.redfin.com/NY/Flushing/39-11-210th-St-11361/home/20833034,MLSLI,3190984,N,Y,40.763823,-73.774789
MLS Listing,,Multi-Family (2-4 Unit),39-05 210th St,Bayside,NY,11361,1580000,7,4,Bayside,3139,2558,1927,3,503,,Active,,,http://www.redfin.com/NY/Flushing/39-05-210th-St-11361/home/20835192,MLSLI,3190976,N,Y,40.7640699,-73.774919
MLS Listing,,Multi-Family (2-4 Unit),3818 31st St,Long Island City,NY,11101,1589000,5,3.5,Long Island City,,2250,1920,3,,,Active,,,http://www.redfin.com/NY/Long-Island-City/38-18-31st-St-11101/home/20958435,MLSLI,3190950,N,Y,40.753483,-73.932702
MLS Listing,,Multi-Family (2-4 Unit),Withheld Withheld Ave,Brooklyn,NY,11219,1750000,8,6,Brooklyn,,,1920,3,,,Active,,,http://www.redfin.com/NY/Brooklyn/Undisclosed-address-11210/home/112893362,BNYMLS,435840,N,Y,40.6285158,-73.9447994
