SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,700 Washington St Unit BA,New York,NY,10014,1995000,2,2,West Village,,,1975,1,,,Active,,,http://www.redfin.com/NY/New-York/700-Washington-St-10014/home/170273934,REBNY,CORC5960706,N,Y,40.7346491,-74.0086522
MLS Listing,,Condo/Co-op,60 E 55th St Unit 20A,New York,NY,10022,1995000,1,1,Middle East Side,,,2004,1,,,Active,,,http://www.redfin.com/NY/New-York/60-E-55th-St-10022/home/45192229,REBNY,SOTH2868094,N,Y,40.7605481,-73.9727654
MLS Listing,,Condo/Co-op,333 Rector Pl Ph 5S,New York,NY,10280,1990000,1,1.5,Battery Park City,1132,,1985,3,1758,,Active,,,http://www.redfin.com/NY/New-York/333-Rector-Pl-10280/home/45330367,REBNY,BATT1865407,N,Y,40.7096161,-74.0173132
MLS Listing,,Condo/Co-op,145 W 86th St Unit 11D,New York,NY,10024,1849000,2,2,Upper West Side,,,1925,3,,,Active,,,http://www.redfin.com/NY/New-York/145-W-86th-St-10024/home/45152123,REBNY,CORC5959537,N,Y,40.7873659,-73.9735905
MLS Listing,,Condo/Co-op,222 Park Pl Unit 1B,Brooklyn,NY,11238,1795000,2,2,Prospect Heights,1794,,2004,3,1001,,Active,,,http://www.redfin.com/NY/Brooklyn/222-Park-Pl-11238/home/40639045,REBNY,DEGI4070361,N,Y,40.6767363,-73.9705812
MLS Listing,,Condo/Co-op,196 Orchard St Unit PHG,New York,NY,10002,1750000,1,1,Lower East Side,786,,2017,4,2226,,Active,,,http://www.redfin.com/NY/New-York/196-Orchard-St-10002/home/170248004,REBNY,SEEK1865196,N,Y,40.7222717,-73.9878326
MLS Listing,,Condo/Co-op,543 W 122nd St Unit 5E,New York,NY,10027,1750000,2,2,Morningside Heights,1189,,2019,4,1472,,Active,,,http://www.redfin.com/NY/New-York/543-W-122nd-St-10027/home/150604387,REBNY,HALS20013036,N,Y,40.8114727,-73.9602154
MLS Listing,,Condo/Co-op,118 E 60th St Unit 30C,New York,NY,10022,1895000,2,2,Upper East Side,1500,,1964,4,1263,,Active,,,http://www.redfin.com/NY/New-York/118-E-60th-St-10022/home/45181786,REBNY,QRES1865095,N,Y,40.7629068,-73.9686349
MLS Listing,,Condo/Co-op,77 Bleecker St #113,New York,NY,10012,1750000,2,2,Central Village,1350,,1930,4,1296,,Active,,,http://www.redfin.com/NY/New-York/77-Bleecker-St-10012/home/45141709,REBNY,DEGI4070080,N,Y,40.7267103,-73.9958678
MLS Listing,,Condo/Co-op,427 E 90th St Unit 4A,New York,NY,10128,1895000,2,2,Upper East Side,1028,,2020,4,1843,,Active,,,http://www.redfin.com/NY/New-York/427-E-90th-St-10128/home/170236650,REBNY,HALS20009276,N,Y,40.7790248,-73.9458556
MLS Listing,,Condo/Co-op,325 Fifth Ave Unit 26F,New York,NY,10016,1875000,2,2,Murray Hill Kips Bay,1228,,2005,5,1527,,Active,,,http://www.redfin.com/NY/New-York/325-5th-Ave-10016/home/45190402,REBNY,ASHE1864811,N,Y,40.7474748,-73.9850314
MLS Listing,,Condo/Co-op,123 S 1st St,Brooklyn,NY,11249,1895000,2,2,Williamsburg,1390,,2012,5,1363,,Active,,,http://www.redfin.com/NY/Brooklyn/123-S-1st-St-11249/home/92328995,REBNY,DEGI4065932,N,Y,40.714297,-73.9625106
MLS Listing,,Condo/Co-op,389 E 89th St Unit 23D,New York,NY,10128,1950000,2,2,Upper East Side,,,2002,5,,,Active,,,http://www.redfin.com/NY/New-York/389-E-89th-St-10128/home/130611941,REBNY,HALS20007859,N,Y,40.7791072,-73.9483299
MLS Listing,,Condo/Co-op,325 Fifth Ave Unit 35C,New York,NY,10016,1984000,2,2,Middle West Side,1151,,2005,6,1724,,Active,,,http://www.redfin.com/NY/New-York/325-5th-Ave-10016/home/45190389,REBNY,DEGI4067204,N,Y,40.7474748,-73.9850314
MLS Listing,,Condo/Co-op,225 Fifth Ave Unit 8P,New York,NY,10010,1830000,1,1,Middle East Side,1025,,1900,6,1785,,Active,,,http://www.redfin.com/NY/New-York/225-5th-Ave-10010/home/45190048,REBNY,DEGI4067196,N,Y,40.7437447,-73.9875513
MLS Listing,,Condo/Co-op,59 John St Unit 4C,New York,NY,10038,1995000,2,3,Financial District,1651,,1909,7,1208,,Active,,,http://www.redfin.com/NY/New-York/59-John-St-10038/home/45188625,REBNY,CORC5945104,N,Y,40.708983,-74.0072266
MLS Listing,,Condo/Co-op,870 United Nations Plz Unit 21G,New York,NY,10017,1995000,2,2,Middle East Side,,,1966,7,,,Active,,,http://www.redfin.com/NY/New-York/870-United-Nations-Plz-10017/home/170111499,REBNY,SOTH2828524,N,Y,40.7524819,-73.9654633
MLS Listing,,Condo/Co-op,11 E 29th St Unit 40C,New York,NY,10016,1899000,1,2,Flatiron,991,,2008,8,1916,,Active,,,http://www.redfin.com/NY/New-York/11-E-29th-St-10016/home/45222475,REBNY,MART1001,N,Y,40.7449921,-73.985602
MLS Listing,,Condo/Co-op,101 Warren St #890,New York,NY,10007,1875000,1,1.5,Tribeca,979,,2006,10,1915,,Active,,,http://www.redfin.com/NY/New-York/101-Warren-St-10007/home/45220604,REBNY,KWNY239171,N,Y,40.7156284,-74.0121137
MLS Listing,,Condo/Co-op,325 Fifth Ave Unit 34B,New York,NY,10016,1985000,2,2,Middle West Side,1446,,2005,10,1373,,Active,,,http://www.redfin.com/NY/New-York/325-5th-Ave-10016/home/45190381,REBNY,DEGI4062173,N,Y,40.7474748,-73.9850314
MLS Listing,,Condo/Co-op,177 Ninth Ave Unit 5E,New York,NY,10011,1900000,1,1.5,Chelsea,,,2008,11,,,Active,,,http://www.redfin.com/NY/New-York/177-9th-Ave-10011/home/45325491,REBNY,UCOM759996,N,Y,40.7450569,-74.0027927
MLS Listing,,Condo/Co-op,42 Allen St Unit 5B/6B,New York,NY,10002,1995000,2,2.5,Lower East Side,1346,,2017,11,1482,,Active,,,http://www.redfin.com/NY/New-York/42-Allen-St-10002/home/170193996,REBNY,UCOM1864001,N,Y,40.7162479,-73.9915649
MLS Listing,,Condo/Co-op,117 E 57th St Unit 22F/G,New York,NY,10022,2000000,2,2,Middle East Side,1238,,1976,11,1616,,Active,,,http://www.redfin.com/NY/New-York/117-E-57th-St-10022/home/45278258,REBNY,CHRS2863278,N,Y,40.7614678,-73.9698441
MLS Listing,,Condo/Co-op,252 South St Unit 9H,New York,NY,10002,1895000,2,2,Chinatown,1156,,,13,1639,,Active,,,http://www.redfin.com/NY/New-York/252-South-St-10002/home/115295367,REBNY,EXTE107069,N,Y,40.7102574,-73.9888754
