SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),Withheld Withheld Ave,Brooklyn,NY,11219,1750000,8,6,Brooklyn,,,1920,3,,,Active,,,http://www.redfin.com/NY/Brooklyn/Undisclosed-address-11210/home/112893362,BNYMLS,435840,N,Y,40.6285158,-73.9447994
MLS Listing,,Multi-Family (2-4 Unit),60-46 Putnam Ave,Ridgewood,NY,11385,1995000,6,4,Ridgewood,,2165,1930,4,,,Active,,,http://www.redfin.com/NY/Flushing/60-46-Putnam-Ave-11385/home/20884632,MLSLI,3190686,N,Y,40.70575,-73.898993
MLS Listing,,Multi-Family (2-4 Unit),1931 83 St,Brooklyn,NY,11214,1880000,8,4,Brooklyn,3676,3000,,4,511,,Active,,,http://www.redfin.com/NY/Brooklyn/1931-83rd-St-11214/home/40828979,BNYMLS,435806,N,Y,40.6073079,-73.9976602
MLS Listing,,Multi-Family (2-4 Unit),4617 4 Ave,Brooklyn,NY,11220,1895000,8,4,Brooklyn,,2050,1899,4,,,Active,,,http://www.redfin.com/NY/Brooklyn/4617-4th-Ave-11220/home/40691731,MLSLI,3190517,N,Y,40.648189,-74.010373
MLS Listing,,Multi-Family (2-4 Unit),626 Madison St,Brooklyn,NY,11221,1990000,6,4.5,Brooklyn,3840,,1899,5,518,,Active,,,http://www.redfin.com/NY/Brooklyn/626-Madison-St-11221/home/40721582,HGMLS,6002534,N,Y,40.6865451,-73.9332998
MLS Listing,,Single Family Residential,15 Chipperfield Ct,Staten Island,NY,10304,1999000,5,6,Todt Hill,4992,9984,2005,5,400,,Active,,,http://www.redfin.com/NY/Staten-Island/15-Chipperfield-Ct-10301/home/56109283,SIBORMLS,1134719,N,Y,40.6041346,-74.1090159
MLS Listing,,Condo/Co-op,181 Montrose Ave #1,Brooklyn,NY,11206,1999999,8,3,Williamsburg,5400,,,5,370,,Active,,,http://www.redfin.com/NY/Brooklyn/181-Montrose-Ave-11206/home/169972301,REBNY,KWNY238715,N,Y,40.7076616,-73.9418867
MLS Listing,,Single Family Residential,42-22 205th St,Bayside,NY,11361,1758000,8,4,Bayside,,6000,2017,7,,,Active,,,http://www.redfin.com/NY/Flushing/42-22-205th-St-11361/home/20831859,MLSLI,3189821,N,Y,40.759929,-73.779478
MLS Listing,,Multi-Family (2-4 Unit),237 79th St,Brooklyn,NY,11209,1949000,7,6,Bay Ridge,,3280,2020,7,,,Active,,,http://www.redfin.com/NY/Brooklyn/237-79th-St-11209/home/40815842,MLSLI,3189689,N,Y,40.629122,-74.030364
MLS Listing,,Multi-Family (2-4 Unit),6901 New Utrecht Ave,Brooklyn,NY,11228,1895000,6,2,Brooklyn,4640,2577,1931,7,408,,Active,,,http://www.redfin.com/NY/Brooklyn/6901-New-Utrecht-Ave-11228/home/170218822,BNYMLS,435710,N,Y,40.6203004,-73.998498
