SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,220 Riverside Blvd Unit 6B,New York,NY,10069,1070000,1,1,Upper West Side,880,,2001,1,1216,,Active,,,http://www.redfin.com/NY/New-York/220-Riverside-Blvd-10069/home/45120858,REBNY,KWNY239307,N,Y,40.7798481,-73.9870662
MLS Listing,,Condo/Co-op,59 John St Unit 4E,New York,NY,10038,1075000,1,1.5,Financial District,956,,1904,3,1124,,Active,,,http://www.redfin.com/NY/New-York/59-John-St-10038/home/45188626,REBNY,KWNY238003,N,Y,40.708983,-74.0072266
MLS Listing,,Condo/Co-op,19 E 88th St Unit 5B,New York,NY,10028,1200000,1,1,Upper East Side,750,,1936,3,1600,,Active,,,http://www.redfin.com/NY/New-York/19-E-88th-St-10128/home/45160191,REBNY,DEGI4071444,N,Y,40.7824052,-73.9580934
MLS Listing,,Condo/Co-op,543 W 122nd St Unit 3B,New York,NY,10027,1185000,1,1,Morningside Heights,831,,2019,4,1426,,Active,,,http://www.redfin.com/NY/New-York/543-W-122nd-St-10027/home/170243442,REBNY,HALS19357834,N,Y,40.8114727,-73.9602154
MLS Listing,,Condo/Co-op,427 E 90th St Unit 3C,New York,NY,10128,1120000,1,1,Upper East Side,717,,2020,4,1562,,Active,,,http://www.redfin.com/NY/New-York/427-E-90th-St-10128/home/170236665,REBNY,HALS20007745,N,Y,40.7790248,-73.9458556
MLS Listing,,Condo/Co-op,350 Hicks St Unit 10B,Brooklyn,NY,11201,1150000,1,1,Cobble Hill,680,,,5,1691,,Active,,,http://www.redfin.com/NY/Brooklyn/350-Hicks-St-11201/home/170231891,REBNY,DEGI3947479,N,Y,40.6908113,-73.9980356
MLS Listing,,Condo/Co-op,200 W 54th St Unit 9J,New York,NY,10019,1049000,1,1,Middle West Side,,,1912,6,,,Active,,,http://www.redfin.com/NY/New-York/200-W-54th-St-10019/home/170228308,REBNY,ORSD20010678,N,Y,40.7635562,-73.9818919
MLS Listing,,Condo/Co-op,310 W 52nd St Unit 4H,New York,NY,10019,1099000,1,1.5,Middle West Side,710,,2007,6,1548,,Active,,,http://www.redfin.com/NY/New-York/310-W-52nd-St-10019/home/45191593,REBNY,UCOM260520,N,Y,40.7635957,-73.9859404
MLS Listing,,Condo/Co-op,30 Park Pl Unit 39L,New York,NY,10007,1200000,0,1,Tribeca,538,,2016,7,2230,,Active,,,http://www.redfin.com/NY/New-York/30-Park-Pl-10007/home/109653707,REBNY,CORC5959867,N,Y,40.7128448,-74.0089923
MLS Listing,,Condo/Co-op,30 Park Pl Unit 39K,New York,NY,10007,1200000,0,1,Tribeca,615,,2016,7,1951,,Active,,,http://www.redfin.com/NY/New-York/30-Park-Pl-10007/home/109653727,REBNY,CORC5959863,N,Y,40.7128448,-74.0089923
MLS Listing,,Condo/Co-op,61 W 9th St Unit 4E,New York,NY,10011,1195000,1,1,Greenwich Village,,,1925,7,,,Active,,,http://www.redfin.com/NY/New-York/61-W-9th-St-10011/home/45197318,REBNY,UCOM171526,N,Y,40.7340803,-73.9983832
MLS Listing,,Condo/Co-op,184 Kent Ave Unit D304,Brooklyn,NY,11249,1045000,1,1,Williamsburg,,,1915,7,,,Active,,,http://www.redfin.com/NY/Brooklyn/184-Kent-Ave-11249/home/146394882,REBNY,SEEK1864474,N,Y,40.7185491,-73.9645909
MLS Listing,,Condo/Co-op,250 W 15th St Unit 2DG,New York,NY,10011,1195000,1,1,Chelsea,1000,,1930,10,1195,,Active,,,http://www.redfin.com/NY/New-York/250-W-15th-St-10011/home/170208724,REBNY,CORC5951583,N,Y,40.7399396,-74.0013004
MLS Listing,,Condo/Co-op,635 W 42nd St Unit 14N,New York,NY,10036,1085000,1,1,Middle West Side,800,,2007,10,1356,,Active,,,http://www.redfin.com/NY/New-York/635-W-42nd-St-10036/home/45191672,REBNY,R2RR20005414,N,Y,40.7617008,-73.9996228
MLS Listing,,Condo/Co-op,60 Broadway Unit 4E,Brooklyn,NY,11211,1225000,1,1.5,Williamsburg,971,,,10,1262,,Active,,,http://www.redfin.com/NY/Brooklyn/60-Broadway-10006/home/40639721,REBNY,DEGI4060998,N,Y,40.710294,-73.966014
MLS Listing,,Condo/Co-op,25 Sutton Pl S Unit 5L,New York,NY,10022,1025000,1,1.5,Middle East Side,,,1959,11,,,Active,,,http://www.redfin.com/NY/New-York/25-Sutton-Pl-S-10022/home/45169024,REBNY,HALS19997948,N,Y,40.7566436,-73.960951
MLS Listing,,Condo/Co-op,48 -21 5th St Unit 3K,Queens,NY,11101,1045000,1,1,Long Island City,886,,2006,11,1179,,Active,,,http://www.redfin.com/NY/Long-Island-City/48-5th-St-11101/home/166893795,REBNY,TRIP1863963,N,Y,40.7445449,-73.9559838
MLS Listing,,Condo/Co-op,252 South St Unit 16K,New York,NY,10002,1230000,1,1,Chinatown,695,,,13,1770,,Active,,,http://www.redfin.com/NY/New-York/252-South-St-10002/home/170188116,REBNY,EXTE107062,N,Y,40.7110409,-73.9911744
MLS Listing,,Condo/Co-op,750 Park Ave Unit 3B,New York,NY,10021,1050000,1,1,Upper East Side,,,1951,13,,,Active,,,http://www.redfin.com/NY/New-York/750-Park-Ave-10021/home/105888744,REBNY,BHSR19995693,N,Y,40.7710157,-73.9642556
MLS Listing,,Condo/Co-op,454 W 54th St Unit 2I,New York,NY,10019,1099000,1,1,Middle West Side,824,,2010,13,1334,,Active,,,http://www.redfin.com/NY/New-York/454-W-54th-St-10019/home/170182586,REBNY,MAJA772011,N,Y,40.7668923,-73.9896685
MLS Listing,,Condo/Co-op,88 Wyckoff St Unit 1L,Brooklyn,NY,11210,1248000,1,2.5,Brooklyn,1890,,1905,14,660,,Active,,,http://www.redfin.com/NY/Brooklyn/88-Wyckoff-St-11201/unit-1L/home/170175151,BNYMLS,435478,N,Y,40.6856966,-73.9905785
MLS Listing,,Condo/Co-op,67 E 11th St #306,New York,NY,10003,1250000,1,1,Greenwich Village,850,,1868,15,1471,,Active,,,http://www.redfin.com/NY/New-York/67-E-11th-St-10003/home/45172958,REBNY,UCOM1863824,N,Y,40.7330515,-73.9923312
MLS Listing,,Condo/Co-op,1025 Fifth Ave Unit 8FS,New York,NY,10028,1199000,1,2,Upper East Side,,,1955,18,,,Active,,,http://www.redfin.com/NY/New-York/1025-5th-Ave-10028/home/45159813,REBNY,UCOM130163,N,Y,40.7798953,-73.9613955
MLS Listing,,Condo/Co-op,200 Rector Pl Unit 34D,New York,NY,10280,1020000,1,1,Battery Park City,650,,1987,18,1569,,Active,,,http://www.redfin.com/NY/New-York/200-Rector-Pl-10280/home/45125070,REBNY,DEGI4053997,N,Y,40.7087736,-74.0161964
MLS Listing,,Condo/Co-op,152 E 94th St Unit 8E,New York,NY,10128,1195000,1,1,Upper East Side,1150,,1937,18,1039,,Active,,,http://www.redfin.com/NY/New-York/152-E-94th-St-10128/home/45161104,REBNY,UCOM141890,N,Y,40.7842192,-73.951458
MLS Listing,,Condo/Co-op,37 Bridge St Unit 2D,Brooklyn,NY,11201,1250000,1,1,Vinegar Hill,883,,1915,18,1416,,Active,,,http://www.redfin.com/NY/Brooklyn/37-Bridge-St-11201/home/40928841,REBNY,UCOM918534,N,Y,40.7033293,-73.9843386
MLS Listing,,Condo/Co-op,255 W 23rd St Unit 2CE,New York,NY,10011,1199000,1,1,Chelsea,850,,1939,28,1411,,Active,,,http://www.redfin.com/NY/New-York/255-W-23rd-St-10011/home/45145056,REBNY,DGNR61022,N,Y,40.744888,-73.9971386
MLS Listing,,Condo/Co-op,140 Seventh Ave Unit 1N,New York,NY,10011,1125000,1,1,Chelsea,800,,1963,28,1406,,Active,,,http://www.redfin.com/NY/New-York/140-7th-Ave-10011/home/45249636,REBNY,DGNR18804188,N,Y,40.7414861,-73.9979592
MLS Listing,,Condo/Co-op,140 Seventh Ave Unit 5E,New York,NY,10011,1100000,1,1,Chelsea,,,1963,28,,,Active,,,http://www.redfin.com/NY/New-York/140-7th-Ave-10011/home/45249209,REBNY,DGNR19954312,N,Y,40.7414861,-73.9979592
MLS Listing,,Condo/Co-op,400 E 70th St #1604,New York,NY,10021,1225000,1,1.5,Upper East Side,876,,1984,29,1398,,Active,,,http://www.redfin.com/NY/New-York/400-E-70th-St-10021/home/45288893,REBNY,DEGI4049012,N,Y,40.7661442,-73.9567938
MLS Listing,,Single Family Residential,1497 Boston Rd,Bronx,NY,10460,1000000,0,,Bronx,1152,1833,1989,30,868,,Active,,,http://www.redfin.com/NY/The-Bronx/1497-Boston-Rd-10460/home/44713707,HGMLS,5122262,N,Y,40.834727,-73.894782
MLS Listing,,Multi-Family (2-4 Unit),203 Ditmas Ave,Brooklyn,NY,11218,1180000,1,2,Brooklyn,2000,2000,1930,32,590,,Active,,,http://www.redfin.com/NY/Brooklyn/203-Ditmas-Ave-11218/home/170069080,BNYMLS,435332,N,Y,40.6358891,-73.9766898
MLS Listing,,Condo/Co-op,30 E 29th St Unit 19B,New York,NY,10016,1220000,1,1,Middle East Side,571,,2020,33,2137,,Active,,,http://www.redfin.com/NY/New-York/30-E-29th-St-10016/home/170061708,REBNY,CORE2823090,N,Y,40.7442132,-73.9847706
MLS Listing,,Condo/Co-op,11 Hoyt St Unit 6A,Brooklyn,NY,11201,1165000,1,1,Downtown Brooklyn,951,,,33,1225,,Active,,,http://www.redfin.com/NY/Brooklyn/11-Hoyt-St-11201/home/170058881,REBNY,CORC5949551,N,Y,40.6899456,-73.9850466
MLS Listing,,Condo/Co-op,11 Hoyt St Unit 47B,Brooklyn,NY,11201,1060000,1,1,Downtown Brooklyn,700,,,33,1514,,Active,,,http://www.redfin.com/NY/Brooklyn/11-Hoyt-St-11201/home/170058880,REBNY,CORC5949544,N,Y,40.6899456,-73.9850466
MLS Listing,,Single Family Residential,1495 Boston Rd,Bronx,NY,10460,1000000,0,,Bronx,1152,2173,1989,35,868,,Active,,,http://www.redfin.com/NY/The-Bronx/1495-Boston-Rd-10460/home/44744660,HGMLS,5122290,N,Y,40.834703,-73.894842
MLS Listing,,Condo/Co-op,785 Park Ave Unit 1C,New York,NY,10021,1200000,0,2,Upper East Side,1500,,1940,35,800,,Active,,,http://www.redfin.com/NY/New-York/785-Park-Ave-10021/home/45181799,REBNY,CORC5943943,N,Y,40.7718461,-73.9629838
MLS Listing,,Condo/Co-op,181 Seventh Ave Unit 9C,New York,NY,10011,1200000,1,1,Chelsea,700,,1986,35,1714,,Active,,,http://www.redfin.com/NY/New-York/181-7th-Ave-10011/home/45250179,REBNY,DEGI4042236,N,Y,40.7424515,-73.996531
