SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),726 Manor Ct,Brooklyn,NY,11235,1149999,5,3,Sheepshead Bay,2165,3100,1940,123,531,,Active,,,http://www.redfin.com/NY/Brooklyn/726-Manor-Ct-11235/home/40858665,MLSLI,3164037,N,Y,40.586204,-73.961013
MLS Listing,,Multi-Family (2-4 Unit),59-12 Putnam Ave,Ridgewood,NY,11385,1200000,5,3,Ridgewood,,2630,1910,1,,,Active,,,http://www.redfin.com/NY/Flushing/59-12-Putnam-Ave-11385/home/20884767,MLSLI,3191456,N,Y,40.705004,-73.901544
MLS Listing,,Multi-Family (2-4 Unit),1229 E 73rd St,Brooklyn,NY,11234,1200000,7,3.5,Bergen Beach,3568,2200,1970,1,336,,Active,,,http://www.redfin.com/NY/Brooklyn/1229-E-73rd-St-11234/home/40897531,MLSLI,3191287,N,Y,40.62677,-73.912944
MLS Listing,,Multi-Family (2-4 Unit),6640 Sedgwick Pl,Brooklyn,NY,11220,1188000,5,2,Brooklyn,1440,2000,,1,825,,Active,,,http://www.redfin.com/NY/Brooklyn/6640-Sedgwick-Pl-11220/home/40810093,BNYMLS,435848,N,Y,40.6402087,-74.0288073
MLS Listing,,Multi-Family (2-4 Unit),20-41 Himrod St,Ridgewood,NY,11385,1199000,5,2,Ridgewood,2090,1900,1910,2,574,,Active,,,http://www.redfin.com/NY/Flushing/20-41-Himrod-St-11385/home/20885536,MLSLI,3191175,N,Y,40.710586,-73.90962
MLS Listing,,Multi-Family (2-4 Unit),41-19 73 St,Woodside,NY,11377,1200000,6,4,Woodside,,2200,1994,3,,,Active,,,http://www.redfin.com/NY/Woodside/41-19-73rd-St-11377/home/20938186,MLSLI,3191064,N,Y,40.7445246,-73.891724
MLS Listing,,Single Family Residential,22 Bay 49 St,Brooklyn,NY,11214,1099000,5,2,Brooklyn,2320,2900,1965,3,474,,Active,,,http://www.redfin.com/NY/Brooklyn/22-Bay-49th-St-11214/home/40849144,BNYMLS,435841,N,Y,40.5892368,-73.9846328
MLS Listing,,Multi-Family (2-4 Unit),2832 W 19th St,Brooklyn,NY,11224,1100000,8,5,Brooklyn,,2375,1901,3,,,Active,,,http://www.redfin.com/NY/Brooklyn/2832-W-19th-St-11224/home/40851706,MLSLI,3190933,N,Y,40.5778398,-73.9864234
MLS Listing,,Single Family Residential,219 Wieland Ave,Staten Island,NY,10309,1198000,5,4,Princes Bay,3553,12875,1983,3,337,,Active,,,http://www.redfin.com/NY/Staten-Island/219-Wieland-Ave-10309/home/56073448,SIBORMLS,1134769,N,Y,40.5406161,-74.2114668
MLS Listing,,Multi-Family (2-4 Unit),376 Richmond Ter,Staten Island,NY,10301,1050000,6,4,St. George,3200,2104,1920,3,328,,Active,,,http://www.redfin.com/NY/Staten-Island/376-Richmond-Ter-10301/home/56029364,SIBORMLS,1134761,N,Y,40.647999,-74.085939
MLS Listing,,Multi-Family (2-4 Unit),374 Richmond Ter,Staten Island,NY,10301,1050000,6,4,St. George,3200,2104,1920,3,328,,Active,,,http://www.redfin.com/NY/Staten-Island/374-Richmond-Ter-10301/home/56029363,SIBORMLS,1134758,N,Y,40.64804,-74.085843
MLS Listing,,Multi-Family (2-4 Unit),220 Forbell St,Brooklyn,NY,11208,1150000,6,4,Brooklyn,2821,,1965,4,408,,Active,,,http://www.redfin.com/NY/Brooklyn/220-Forbell-St-11208/home/40765168,HGMLS,6003167,N,Y,40.6776277,-73.8640743
MLS Listing,,Multi-Family (2-4 Unit),2020 Menahan St,Ridgewood,NY,11385,1200000,7,3,Ridgewood,,2500,1930,4,,,Active,,,http://www.redfin.com/NY/Flushing/20-20-Menahan-St-11385/home/20885502,MLSLI,3190720,N,Y,40.7079065,-73.9065216
MLS Listing,,Multi-Family (2-4 Unit),576 Essex St,Brooklyn,NY,11208,1200000,9,3,Brooklyn,1776,1902,1930,4,676,,Active,,,http://www.redfin.com/NY/Brooklyn/576-Essex-St-11208/home/40761035,BNYMLS,435827,N,Y,40.6695207,-73.8808077
MLS Listing,,Multi-Family (2-4 Unit),94-21 86th St,Ozone Park,NY,11416,1208888,7,3.5,Ozone Park,,2102,2005,4,,,Active,,,http://www.redfin.com/NY/Ozone-Park/94-21-86th-St-11416/home/20623949,MLSLI,3190622,N,Y,40.6855826,-73.855081
MLS Listing,,Multi-Family (2-4 Unit),923 40 St,Brooklyn,NY,11219,1169000,5,3,Brooklyn,1156,1380,1920,4,1011,,Active,,,http://www.redfin.com/NY/Brooklyn/923-40th-St-11219/home/40802805,BNYMLS,435811,N,Y,40.645121,-73.9949514
MLS Listing,,Multi-Family (2-4 Unit),2174 Bathgate Ave,Bronx,NY,10457,1250000,12,4.5,Bronx,4375,4974,1901,4,286,,Active,,,http://www.redfin.com/NY/The-Bronx/2174-Bathgate-Ave-10457/home/44718699,HGMLS,6002890,N,Y,40.8524635,-73.8935544
