SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,252 Seventh Ave Unit 11O,New York,NY,10001,2599000,1,2,Chelsea,1562,,1907,1,1664,,Active,,,http://www.redfin.com/NY/New-York/252-7th-Ave-10001/home/45313823,REBNY,CORC5958559,N,Y,40.7452249,-73.9950853
MLS Listing,,Condo/Co-op,790 Riverside Dr Unit 10G,New York,NY,10032,2500000,3,3,Washington Heights,,,1910,1,,,Active,,,http://www.redfin.com/NY/New-York/790-Riverside-Dr-10032/home/53327526,REBNY,UCOM1219583,N,Y,40.834716,-73.9481517
MLS Listing,,Condo/Co-op,825 W End Ave Unit 15A,New York,NY,10025,2500000,3,3,New York,2102,,1928,3,1189,,Active,,,http://www.redfin.com/NY/New-York/825-W-End-Ave-10025/unit-15A/home/45305136,HGMLS,6003490,N,Y,40.7982764,-73.971662
MLS Listing,,Condo/Co-op,23 W 73rd St #1014,New York,NY,10023,2650000,2,2,Upper West Side,,,1929,3,,,Active,,,http://www.redfin.com/NY/New-York/23-W-73rd-St-10023/home/168817326,REBNY,SEEK68870,N,Y,40.777703,-73.9767127
MLS Listing,,Condo/Co-op,285 W 110th St Unit 6D,New York,NY,10026,2695000,3,2.5,Upper West Side,1614,,2017,3,1670,,Active,,,http://www.redfin.com/NY/New-York/285-W-110th-St-10026/home/115150718,REBNY,UCOM1612020,N,Y,40.8006942,-73.9574555
MLS Listing,,Condo/Co-op,306 E 82nd St Unit 1B,New York,NY,10028,2550000,4,3,Upper East Side,2038,,2009,3,1251,,Active,,,http://www.redfin.com/NY/New-York/306-E-82nd-St-10028/home/167466799,REBNY,KWNY239276,N,Y,40.7749238,-73.9532259
MLS Listing,,Condo/Co-op,306 E 82nd St #1,New York,NY,10028,2550000,2,3,Upper East Side,2038,,2009,3,1251,,Active,,,http://www.redfin.com/NY/New-York/306-E-82nd-St-10028/home/160158294,REBNY,KWNY239275,N,Y,40.7749238,-73.9532259
MLS Listing,,Condo/Co-op,306 E 82nd St Unit 1A,New York,NY,10028,2550000,3,3,Upper East Side,2038,,2009,3,1251,,Active,,,http://www.redfin.com/NY/New-York/306-E-82nd-St-10028/home/45340598,REBNY,KWNY239274,N,Y,40.7749238,-73.9532259
MLS Listing,,Single Family Residential,1450 Pacific St,Brooklyn,NY,11216,2500000,,,Crown Heights,3600,,,3,694,,Active,,,http://www.redfin.com/NY/Brooklyn/1450-Pacific-St-11216/home/40707906,REBNY,UCOM78012,N,Y,40.6770067,-73.941905
MLS Listing,,Condo/Co-op,543 W 122nd St Unit 27C,New York,NY,10027,2540000,2,2,Morningside Heights,1313,,2019,4,1935,,Active,,,http://www.redfin.com/NY/New-York/543-W-122nd-St-10027/home/170244604,REBNY,HALS19383463,N,Y,40.8114727,-73.9602154
MLS Listing,,Condo/Co-op,543 W 122nd St Unit 4H,New York,NY,10027,2590000,3,2.5,Morningside Heights,1764,,2019,4,1468,,Active,,,http://www.redfin.com/NY/New-York/543-W-122nd-St-10027/home/170244603,REBNY,HALS19367163,N,Y,40.8114727,-73.9602154
MLS Listing,,Condo/Co-op,875 Park Ave Unit 9B,New York,NY,10075,2750000,1,2,Upper East Side,,,1912,4,,,Active,,,http://www.redfin.com/NY/New-York/875-Park-Ave-10075/home/45157609,REBNY,BHSR20013358,N,Y,40.7745604,-73.9609134
MLS Listing,,Single Family Residential,112-05 69th Ave,Forest Hills,NY,11375,2699999,5,4,Forest Hills,,7500,1920,4,,,Active,,,http://www.redfin.com/NY/Flushing/112-05-69th-Ave-11375/home/20915198,MLSLI,3190604,N,Y,40.7265548,-73.8408302
MLS Listing,,Single Family Residential,14-33 164th St,Beechhurst,NY,11357,2738888,5,5,Robinswood,4048,8600,2006,5,677,,Active,,,http://www.redfin.com/NY/Flushing/14-33-164th-St-11357/home/20860823,MLSLI,3190159,N,Y,40.788016,-73.7982169
MLS Listing,,Condo/Co-op,130 William St Unit 20B,New York,NY,10038,2700990,3,2,Financial District,1528,,2020,6,1768,,Active,,,http://www.redfin.com/NY/New-York/130-William-St-10038/home/170225095,REBNY,CORC5960617,N,Y,40.7091434,-74.0064461
MLS Listing,,Multi-Family (2-4 Unit),95-23 Roosevelt Ave,Jackson Heights,NY,11372,2658000,5,2.5,Jackson Heights,1200,1600,1931,7,2215,,Active,,,http://www.redfin.com/NY/Flushing/95-23-Roosevelt-Ave-11372/home/170222634,MLSLI,3189809,N,Y,40.7491284,-73.870932
MLS Listing,,Multi-Family (2-4 Unit),174 Carlton Ave,Brooklyn,NY,11205,2600000,4,3,Brooklyn,3080,2500,,7,844,,Active,,,http://www.redfin.com/NY/Brooklyn/174-Carlton-Ave-11205/home/40733475,BNYMLS,435705,N,Y,40.6924718,-73.972909
MLS Listing,,Condo/Co-op,432 10th St,Brooklyn,NY,11215,2699000,4,3,Park Slope,2050,,2018,7,1317,,Active,,,http://www.redfin.com/NY/Brooklyn/432-10th-St-11215/home/167285547,REBNY,CORC5959193,N,Y,40.6676477,-73.9852363
MLS Listing,,Condo/Co-op,2 Columbus Ave Unit 12C,New York,NY,10023,2695000,2,2.5,Upper West Side,1275,,1999,11,2114,,Active,,,http://www.redfin.com/NY/New-York/2-Columbus-Ave-10019/home/45266906,REBNY,UCOM1006936,N,Y,40.7695445,-73.9850058
MLS Listing,,Condo/Co-op,321 W 110th St Unit 19A,New York,NY,10026,2699999,3,2,Upper West Side,1383,,,12,1952,,Active,,,http://www.redfin.com/NY/New-York/321-W-110th-St-10026/home/105885484,REBNY,CLIC16818,N,Y,40.8012184,-73.9592644
MLS Listing,,Condo/Co-op,119 Fulton St #8,New York,NY,10038,2649000,2,2,Lower Manhattan,1321,,1919,12,2005,,Active,,,http://www.redfin.com/NY/New-York/119-Fulton-St-10038/home/45188767,REBNY,DEGI4060945,N,Y,40.7101063,-74.006941
MLS Listing,,Condo/Co-op,252 South St Unit 45K,New York,NY,10002,2575000,2,2,Chinatown,1123,,,13,2293,,Active,,,http://www.redfin.com/NY/New-York/252-South-St-10002/home/167180228,REBNY,EXTE107072,N,Y,40.7110409,-73.9911744
MLS Listing,,Single Family Residential,1476 Myrtle Ave,Brooklyn,NY,11237,2700000,,,Bushwick,4200,,,18,643,,Active,,,http://www.redfin.com/NY/Brooklyn/1476-Myrtle-Ave-11237/home/40747756,REBNY,ANCH77875,N,Y,40.6989496,-73.9154758
MLS Listing,,Condo/Co-op,9 College Pl Unit 3K,Brooklyn,NY,11201,2550000,2,2,Brooklyn Heights,1489,,1923,18,1713,,Active,,,http://www.redfin.com/NY/Brooklyn/9-College-Pl-11201/home/40928885,REBNY,UCOM858421,N,Y,40.696547,-73.9946186
MLS Listing,,Condo/Co-op,235 W 75th St #310,New York,NY,10023,2650000,2,2.5,Upper West Side,1421,,,18,1865,,Active,,,http://www.redfin.com/NY/New-York/235-W-75th-St-10023/home/109654227,REBNY,UCOM1479162,N,Y,40.7815642,-73.9816551
MLS Listing,,Condo/Co-op,425 Central Park W Unit 6CD,New York,NY,10025,2650000,3,3,Upper West Side,1650,,1941,18,1606,,Active,,,http://www.redfin.com/NY/New-York/425-Central-Park-W-10025/home/170163063,REBNY,CORC5952227,N,Y,40.7960295,-73.9619127
MLS Listing,,Vacant Land,35-30 12th St,Long Island City,NY,11106,2699000,,,Long Island City,,3514,,20,,,Active,,,http://www.redfin.com/NY/Long-Island-City/35-30-12th-St-11106/home/163036525,MLSLI,3187540,N,Y,40.761818,-73.938845
MLS Listing,,Condo/Co-op,7 E 20th St Unit 10F,New York,NY,10003,2750000,2,2,Flatiron,,,1908,28,,,Active,,,http://www.redfin.com/NY/New-York/7-E-20th-St-10003/home/170116503,REBNY,UCOM589419,N,Y,40.7395035,-73.9902122
