SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,142-05 Roosevelt Ave #521,Flushing,NY,11354,262000,0,1,Barbizon,540,,1965,118,485,,Active,,,http://www.redfin.com/NY/Flushing/142-05-Roosevelt-Ave-11354/unit-521/home/146083012,MLSLI,3165289,N,Y,40.7607557,-73.825836
MLS Listing,,Condo/Co-op,2260 Burnett St Unit 5H,Brooklyn,NY,11229,265000,2,1,Brooklyn,900,,,1,294,,Active,January-18-2020 11:00 AM,January-18-2020 01:00 PM,http://www.redfin.com/NY/Brooklyn/2260-Burnett-St-11229/unit-5H/home/170272673,BNYMLS,435889,N,Y,40.6014996,-73.9324298
MLS Listing,,Condo/Co-op,Unit at 18 -40 211th St,Queens,NY,11360,275000,1,1,Bayside,,,,1,,,Active,,,http://www.redfin.com/NY/Bayside/18-65-211th-St-11360/home/170270756,REBNY,DEGI4075559,N,Y,40.780811,-73.7810179
MLS Listing,,Condo/Co-op,131-11 Kew Gardens Rd Unit 2K,Richmond Hill,NY,11418,259000,1,1,Kew Manor,,,1960,2,,,Active,,,http://www.redfin.com/NY/Jamaica/131-11-Kew-Gardens-Rd-11418/unit-2K/home/45456455,MLSLI,3191082,N,Y,40.7049799,-73.8214685
MLS Listing,,Condo/Co-op,Unit at 2420 Morris Ave,Bronx,NY,10468,270000,3,2,Fordham,,,,3,,,Active,,,http://www.redfin.com/NY/The-Bronx/2420-Morris-Ave-10468/home/170267400,REBNY,CITI5963223,N,Y,40.8609075,-73.90002
MLS Listing,,Condo/Co-op,209-15 18 Ave Unit 3K,Bayside,NY,11360,275000,2,1,Bay Terrace,,,1960,4,,,Active,,,http://www.redfin.com/NY/Unknown/209-15-18th-Ave-11360/unit-3K/home/147265122,MLSLI,3190683,N,Y,40.7820858,-73.7844721
MLS Listing,,Condo/Co-op,2171 Bragg St Unit 2B,Brooklyn,NY,11229,250000,2,1,Brooklyn,857,,,4,292,,Active,,,http://www.redfin.com/NY/Brooklyn/2171-Bragg-St-11235/unit-2B/home/109229700,BNYMLS,435823,N,Y,40.5860069,-73.9418603
MLS Listing,,Condo/Co-op,Unit at 3601 Johnson Ave,Bronx,NY,10463,259000,1,1,Riverdale,,,,5,,,Active,,,http://www.redfin.com/NY/Bronx/3601-Johnson-Ave-10463/home/144903500,REBNY,BACH19928212,N,Y,40.8870892,-73.9099682
MLS Listing,,Condo/Co-op,2240 Burnett St Unit 5I,Brooklyn,NY,11229,269000,2,1,Brooklyn,950,,,5,283,,Active,,,http://www.redfin.com/NY/Brooklyn/2240-Burnett-St-11229/unit-5I/home/52402128,BNYMLS,435793,N,Y,40.6017533,-73.932769
MLS Listing,,Condo/Co-op,822A Leland Ave Unit A,Bronx,NY,10473,275000,2,2,Bronx,936,35479,1988,5,294,,Active,,,http://www.redfin.com/NY/The-Bronx/822A-Leland-Ave-10473/unit-A/home/170230714,HGMLS,5127728,N,Y,40.822719,-73.861198
