SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,30 Main St Unit 5A,Brooklyn,NY,11201,2100000,2,2,Dumbo,1515,,1908,1,1386,,Active,,,http://www.redfin.com/NY/Brooklyn/30-Main-St-11201/home/40634761,REBNY,UCOM237996,N,Y,40.702988,-73.9907803
MLS Listing,,Condo/Co-op,265 State St #1209,Brooklyn,NY,11201,2250000,3,2,Boerum Hill,1553,,2014,1,1449,,Active,,,http://www.redfin.com/NY/Brooklyn/265-State-St-11201/home/113655038,REBNY,DEGI4068623,N,Y,40.6892122,-73.9882785
MLS Listing,,Condo/Co-op,61 E 86th St #64,New York,NY,10028,2000000,3,2,Upper East Side,,,1899,2,,,Active,,,http://www.redfin.com/NY/New-York/61-E-86th-St-10028/home/160756525,REBNY,SEEK1164975,N,Y,40.7807591,-73.9579098
MLS Listing,,Single Family Residential,512 Parsons Blvd,Malba,NY,11357,2250000,4,3.5,Whitestone,3000,9165,2018,3,750,,Active,,,http://www.redfin.com/NY/WHITESTONE/512-PARSONS-BLVD-11357/home/23142696,MLSLI,3190989,N,Y,40.793442,-73.825661
MLS Listing,,Condo/Co-op,37 Riverside Dr Unit 5B,New York,NY,10023,2250000,3,2.5,Upper West Side,1721,,1925,3,1307,,Active,,,http://www.redfin.com/NY/New-York/37-Riverside-Dr-10023/home/170248054,REBNY,UCOM1865227,N,Y,40.7828774,-73.9842196
MLS Listing,,Single Family Residential,8 Buttonwood Rd,Staten Island,NY,10304,2200000,5,5,Todt Hill,4800,10008,1990,3,458,,Active,,,http://www.redfin.com/NY/Staten-Island/8-Buttonwood-Rd-10304/home/56123344,SIBORMLS,1134764,N,Y,40.5988346,-74.1111035
MLS Listing,,Condo/Co-op,440 Kent Ave Ph 2C,Brooklyn,NY,11249,2250000,3,2.5,Williamsburg,1690,,2005,3,1331,,Active,,,http://www.redfin.com/NY/Brooklyn/440-Kent-Ave-11249/home/40655761,REBNY,UCOM204192,N,Y,40.7092689,-73.969376
MLS Listing,,Condo/Co-op,196 Orchard St Unit 7G,New York,NY,10002,2245000,2,2,Lower East Side,970,,2017,4,2314,,Active,,,http://www.redfin.com/NY/New-York/196-Orchard-St-10002/home/144972247,REBNY,SEEK1865195,N,Y,40.7222717,-73.9878326
MLS Listing,,Condo/Co-op,336 W End Ave Unit 2BC,New York,NY,10023,2100000,3,2.5,Upper West Side,1850,,1932,4,1135,,Active,January-19-2020 10:30 AM,January-19-2020 12:00 PM,http://www.redfin.com/NY/New-York/336-W-End-Ave-10023/home/170245179,REBNY,UCOM1865226,N,Y,40.7821377,-73.9824061
MLS Listing,,Condo/Co-op,543 W 122nd St Unit 3A,New York,NY,10027,2050000,2,2.5,Morningside Heights,1452,,2019,4,1412,,Active,,,http://www.redfin.com/NY/New-York/543-W-122nd-St-10027/home/170244597,REBNY,HALS19341278,N,Y,40.8114727,-73.9602154
