SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,323 Garretson Ave,Staten Island,NY,10305,489000,2,2,South Beach,1120,1470,1990,1,437,,Active,,,http://www.redfin.com/NY/Staten-Island/323-Garretson-Ave-10305/home/56043936,SIBORMLS,1134818,N,Y,40.5869526,-74.0909334
MLS Listing,,Single Family Residential,82 Kenilworth Ave,Staten Island,NY,10312,494999,3,2,Annandale,1300,1297,2002,1,381,,Active,,,http://www.redfin.com/NY/Staten-Island/82-Kenilworth-Ave-10312/home/56089469,SIBORMLS,1134802,N,Y,40.563787,-74.183279
MLS Listing,,Condo/Co-op,66-10 Yellowstone Blvd Unit 1G,Forest Hills,NY,11375,478000,2,1,The Stratton,1020,,1950,2,469,,Active,,,http://www.redfin.com/NY/Flushing/66-10-Yellowstone-Blvd-11375/unit-1G/home/20643588,MLSLI,3191185,N,Y,40.7293226,-73.8501306
MLS Listing,,Single Family Residential,187-24 Tioga Dr,St. Albans,NY,11412,475000,3,1.5,St. Albans,,3000,1940,2,,,Active,,,http://www.redfin.com/NY/Jamaica/187-24-Tioga-Dr-11412/home/20754789,MLSLI,3191120,N,Y,40.694194,-73.765463
MLS Listing,,Single Family Residential,1586 Castleton Ave,Staten Island,NY,10302,490000,4,2,Port Richmond,1287,2500,1899,2,381,,Active,,,http://www.redfin.com/NY/Staten-Island/1586-Castleton-Ave-10302/home/56123213,SIBORMLS,1134791,N,Y,40.635844,-74.13589
MLS Listing,,Single Family Residential,3234 Corsa Ave,Bronx,NY,10469,490000,3,1.5,Bronx,1260,1800,1950,2,389,,Active,,,http://www.redfin.com/NY/The-Bronx/3234-Corsa-Ave-10469/home/44737782,BNYMLS,435865,N,Y,40.8736857,-73.8454193
MLS Listing,,Single Family Residential,130-56 221 St,Laurelton,NY,11413,489999,4,1.5,Laurelton,1110,4000,1945,2,441,,Active,January-18-2020 01:00 PM,January-18-2020 03:00 PM,http://www.redfin.com/NY/Jamaica/130-56-221st-St-11413/home/20700950,MLSLI,3191073,N,Y,40.682673,-73.746312
MLS Listing,,Condo/Co-op,144-58 Sanford Ave #52,Flushing,NY,11355,480000,2,1,Sanford Plaza,,,1955,3,,,Active,,,http://www.redfin.com/NY/Flushing/144-58-Sanford-Ave-11355/unit-52/home/170268314,MLSLI,3191009,N,Y,40.7589616,-73.8187137
MLS Listing,,Single Family Residential,97-14 134th St,Richmond Hill S.,NY,11419,485000,5,2,Richmond Hill S.,,2521,1920,3,,,Active,,,http://www.redfin.com/NY/Jamaica/97-14-134th-St-11419/home/20775411,MLSLI,3191007,N,Y,40.694163,-73.814303
MLS Listing,,Condo/Co-op,102-14 Lewis Ave Unit 5B,Corona,NY,11368,489000,2,1,Corona Plaza,645,,2004,3,758,239,Active,,,http://www.redfin.com/NY/Corona/102-14-Lewis-Ave-11368/unit-5B/home/20647576,MLSLI,3190908,N,Y,40.74095,-73.8581449
MLS Listing,,Townhouse,90-43 Silver Rd,Ozone Park,NY,11417,499000,2,1.5,Ozone Park,,2000,1950,3,,,Active,,,http://www.redfin.com/NY/Jamaica/90-43-Silver-Rd-11417/home/20728921,MLSLI,3190904,N,Y,40.67546,-73.8453
MLS Listing,,Single Family Residential,1294 Givan Ave,Bronx,NY,10469,499000,3,1.5,Bronx,1280,,1955,3,390,,Active,,,http://www.redfin.com/NY/The-Bronx/1294-Givan-Ave-10469/home/44780233,HGMLS,6003257,N,Y,40.8731225,-73.8495448
MLS Listing,,Condo/Co-op,Unit at 241 W 111th St,New York,NY,10026,499000,3,1,West Harlem,,,,4,,,Active,,,http://www.redfin.com/NY/New-York/241-W-111th-St-10026/home/170247538,REBNY,UCOM1865262,N,Y,40.8009517,-73.9564403
MLS Listing,,Single Family Residential,91-10 211th Pl,Queens Village,NY,11428,475000,3,1,Queens Village,,2673,1940,4,,,Active,,,http://www.redfin.com/NY/Queens-Village/91-10-211th-Pl-11428/home/20747431,MLSLI,3190721,N,Y,40.719049,-73.750727
