SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),4137 De Reimer Ave,Bronx,NY,10466,849000,5,4.5,Bronx,3174,2374,2018,1,267,,Active,,,http://www.redfin.com/NY/The-Bronx/4137-De-Reimer-Ave-10466/home/44795313,HGMLS,6003892,N,Y,40.8941469,-73.84347
MLS Listing,,Townhouse,136-83 71st Rd,Flushing,NY,11367,849000,3,2,Flushing,,1800,1940,1,,,Active,,,http://www.redfin.com/NY/Flushing/136-83-71st-Rd-11367/home/20830101,MLSLI,3191410,N,Y,40.726813,-73.82478
MLS Listing,,Multi-Family (2-4 Unit),927 E 79 St,Brooklyn,NY,11236,839000,5,2.5,Brooklyn,2456,2400,,1,342,,Active,,,http://www.redfin.com/NY/Brooklyn/927-E-79th-St-11236/home/40886261,BNYMLS,435886,N,Y,40.63455,-73.913143
MLS Listing,,Condo/Co-op,Unit at 438 4th St,Brooklyn,NY,11215,825000,2,1,Park Slope,,,,1,,,Active,,,http://www.redfin.com/NY/Brooklyn/438-4th-St-11215/home/92328114,REBNY,DEGI4068452,N,Y,40.669947,-73.9793987
MLS Listing,,Single Family Residential,270 Park St,Staten Island,NY,10306,824999,5,3,Richmond Town,1928,4537,1965,3,428,,Active,,,http://www.redfin.com/NY/Staten-Island/270-Park-St-10306/home/56065911,SIBORMLS,1134786,N,Y,40.5694016,-74.1343885
MLS Listing,,Townhouse,49-18 67 St,Woodside,NY,11377,820000,3,1.5,Woodside,,1347,1940,3,,,Active,,,http://www.redfin.com/NY/Flushing/49-18-67th-St-11377/home/20910313,MLSLI,3191014,N,Y,40.737141,-73.89797
MLS Listing,,Single Family Residential,119/121 Montgomery Ave,Staten Island,NY,10301,850000,3,2,St. George,1620,4250,1930,3,525,,Active,,,http://www.redfin.com/NY/Staten-Island/121-Montgomery-Ave-10301/home/56084767,SIBORMLS,1134783,N,Y,40.638803,-74.077808
MLS Listing,,Single Family Residential,153-37 78th Ave,Flushing,NY,11367,839900,3,2.5,Flushing,,1800,1960,3,,,Active,,,http://www.redfin.com/NY/Flushing/153-37-78th-Ave-11367/home/20819925,MLSLI,3190957,N,Y,40.722474,-73.810591
MLS Listing,,Single Family Residential,29-03 202nd St,Bayside,NY,11360,818888,3,1.5,Bayside,1404,2500,1930,3,583,,Active,,,http://www.redfin.com/NY/Flushing/29-03-202nd-St-11360/home/20833799,MLSLI,3190779,N,Y,40.771422,-73.787857
MLS Listing,,Single Family Residential,45 Ebony Ct,Brooklyn,NY,11229,849000,4,3,Brooklyn,1800,1785,1930,4,472,,Active,,,http://www.redfin.com/NY/Brooklyn/45-Ebony-Ct-11229/home/40911615,BNYMLS,435602,N,Y,40.5925897,-73.9284274
