SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,604 Quincy St #3,Brooklyn,NY,11221,959000,2,1.5,604 Quincy Street,920,1476,1899,84,1042,,Active,,,http://www.redfin.com/NY/Brooklyn/604-Quincy-St-11221/unit-3/home/169511185,MLSLI,3174496,N,Y,40.6884259,-73.9364028
MLS Listing,,Condo/Co-op,61 Martense St Unit 1A,Brooklyn,NY,11226,995000,3,3,Flatbush,,,1953,1,,,Active,,,http://www.redfin.com/NY/Brooklyn/61-Martense-St-11226/home/170273919,REBNY,CHRS2863290,N,Y,40.6515638,-73.9570602
MLS Listing,,Condo/Co-op,42-35 Main St Unit 7H,Flushing,NY,11355,968000,2,2,Arcadia,786,,2013,1,1232,548,Active,,,http://www.redfin.com/NY/Flushing/42-35-Main-St-11355/unit-7H/home/59307792,MLSLI,3191209,N,Y,40.7547953,-73.8275503
MLS Listing,,Condo/Co-op,26 W 74th St Unit 2B,New York,NY,10023,999000,2,1,Upper West Side,,,1904,3,,,Active,,,http://www.redfin.com/NY/New-York/26-W-74th-St-10023/home/45266729,REBNY,CCRI1865264,N,Y,40.7779235,-73.9764131
MLS Listing,,Multi-Family (2-4 Unit),32-46 73rd St,Jackson Heights,NY,11370,999999,3,2,Jackson Heights,,2000,1950,3,,,Active,,,http://www.redfin.com/NY/Flushing/32-46-73rd-St-11370/home/20939462,MLSLI,3191030,N,Y,40.755378,-73.894146
MLS Listing,,Multi-Family (2-4 Unit),71-24 69th St,Glendale,NY,11385,958000,4,2.5,Glendale,,2758,1925,3,,,Active,,,http://www.redfin.com/NY/Flushing/71-24-69th-St-11385/home/20877862,MLSLI,3191003,N,Y,40.703184,-73.883667
MLS Listing,,Condo/Co-op,99 John St #207,New York,NY,10038,998000,2,1,Financial District,926,,,3,1078,,Active,,,http://www.redfin.com/NY/New-York/99-John-St-10038/home/45219922,REBNY,NYLS103818,N,Y,40.7082733,-74.0060173
MLS Listing,,Townhouse,26 Delia Ct,Staten Island,NY,10306,999000,4,4,Tottenville,2400,5328,2001,3,416,,Active,,,http://www.redfin.com/NY/Staten-Island/26-Delia-Ct-10307/home/56074743,SIBORMLS,1134765,N,Y,40.5073926,-74.2402859
MLS Listing,,Condo/Co-op,40 W 116th St Unit A902,New York,NY,10026,950000,2,2,West Harlem,1000,,2007,3,950,,Active,,,http://www.redfin.com/NY/New-York/40-W-116th-St-10026/home/45226875,REBNY,UCOM613465,N,Y,40.8010319,-73.9483377
MLS Listing,,Multi-Family (2-4 Unit),147-27 19th Ave,Whitestone,NY,11357,978000,3,2,Whitestone,,2500,1987,4,,,Active,,,http://www.redfin.com/NY/Flushing/147-27-19th-Ave-11357/home/20863960,MLSLI,3190726,N,Y,40.782504,-73.817794
MLS Listing,,Single Family Residential,636 Darlington Ave,Staten Island,NY,10309,979900,3,3,Princes Bay,3502,4000,2020,4,280,,Active,,,http://www.redfin.com/NY/Staten-Island/636-Darlington-Ave-10309/home/56116393,SIBORMLS,1134754,N,Y,40.5327102,-74.2069039
MLS Listing,,Single Family Residential,158-26 75th Rd,Fresh Meadows,NY,11366,995000,4,2.5,Fresh Meadows,,2500,1930,4,,,Active,,,http://www.redfin.com/NY/Flushing/158-26-75th-Rd-11366/home/20824134,MLSLI,3190648,N,Y,40.72571,-73.809639
