PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,YEAR_BUILT,URL_(SEE_http://www.redfin.com/buy-a-home/comparative-market-analysis_FOR_INFO_ON_PRICING),LATITUDE,LONGITUDE,AGE,CITY numeric,Total_Num_ofComplaints,PCT,Total_crimes,Level_A_SchoolCount,Level_B_SchoolCount,Level_C_SchoolCount,Level_D_SchoolCount,Level_F_SchoolCount,Total_Number_of_Schools,Num_Complaints_schools,Population,People/Sq_Mile,Total_Num_ofHospitals,Total_Num_of_Subways,min_dist_station,Num_of_Retail_stores,min_dist_retail_store,Num_of_Retail_stores_Zipcode
Condo/Co-op,REGO PARK,NY,11374,169000.0,0.0,1.0,65-38 Owners Corp,1352.9759036144576,1950.0,http://www.redfin.com/NY/Flushing/65-38-Booth-St-11374/unit-1E/home/170231919,40.726787,-73.858789,71.0,635,14300,112,768,45,37,16,1,1,100,410.0,44189.0,48499.11,21,14,0.25775534528483535,21,0.26778366181259905,3.0
Condo/Co-op,REGO PARK,NY,11374,169000.0,0.0,1.0,Alderton,1352.9759036144576,1950.0,http://www.redfin.com/NY/Rego-Park/7445-Yellowstone-Blvd-11374/unit-3J/home/20627079,40.7152904,-73.8585123,71.0,635,11536,112,768,42,40,23,2,1,108,433.0,44189.0,48499.11,22,15,0.8335443838084765,18,0.4099647432426487,3.0
Multi-Family (2-4 Unit),REGO PARK,NY,11374,1495000.0,4.0,3.0,The Crescents,2340.0,1942.0,http://www.redfin.com/NY/Flushing/64-12-Asquith-Cres-11374/home/20894114,40.722815999999995,-73.860922,79.0,635,12562,112,768,45,36,19,1,1,102,422.0,44189.0,48499.11,22,12,0.48718974941750626,19,0.3256924059902635,3.0
Multi-Family (2-4 Unit),REGO PARK,NY,11374,1600000.0,7.0,4.0,Rego Park,2748.9,1988.0,http://www.redfin.com/NY/Flushing/62-54-102nd-St-11374/home/20914799,40.734101,-73.85554,33.0,635,17563,112,768,46,32,14,1,1,94,407.0,44189.0,48499.11,17,14,0.43283948053857435,14,0.1687928447568127,3.0
Multi-Family (2-4 Unit),REGO PARK,NY,11374,1650000.0,6.0,3.0,Rego Park,2476.0,1942.0,http://www.redfin.com/NY/Flushing/86-20-63rd-Dr-11374/home/20893900,40.723425299999995,-73.8663719,79.0,635,14237,112,768,45,32,17,1,1,96,404.0,44189.0,48499.11,23,14,0.5092094050144216,13,0.358048727973657,3.0
Condo/Co-op,REGO PARK,NY,11374,219888.0,0.0,1.0,Park City Estates,550.0,1960.0,http://www.redfin.com/NY/Flushing/61-15-98th-St-11374/unit-11A/home/40008155,40.7346339,-73.86023840000001,61.0,635,18098,112,768,44,30,15,1,1,91,394.0,44189.0,48499.11,21,15,0.33855633277292435,20,0.20021885407776413,3.0
Condo/Co-op,REGO PARK,NY,11374,208800.0,0.0,1.0,Carol House,1352.9759036144576,1955.0,http://www.redfin.com/NY/Flushing/64-34-102nd-St-11374/unit-11Y/home/40479670,40.7307101,-73.853121,66.0,635,15269,112,768,46,32,15,1,1,95,410.0,44189.0,48499.11,17,14,0.2901563243180496,16,0.2435101880321641,3.0
Condo/Co-op,REGO PARK,NY,11374,199888.0,0.0,1.0,Anita Terrace,1352.9759036144576,1960.0,http://www.redfin.com/NY/Unknown/99-40-63rd-Rd-11374/unit-11H/home/147285208,40.7323372,-73.855552,61.0,635,16786,112,768,45,32,15,1,1,94,407.0,44189.0,48499.11,17,14,0.36071318736183994,16,0.11928228138265436,3.0
Condo/Co-op,REGO PARK,NY,11374,218000.0,0.0,1.0,Heart Of Rego Park,1352.9759036144576,1939.0,http://www.redfin.com/NY/Rego-Park/9611-65th-Rd-11374/unit-412/home/20637404,40.7271099,-73.859,82.0,635,14439,112,768,45,37,16,1,1,100,410.0,44189.0,48499.11,21,14,0.233157400937828,21,0.25014790008052756,3.0
Condo/Co-op,REGO PARK,NY,11374,198000.0,0.0,1.0,Howard Building,450.0,1950.0,http://www.redfin.com/NY/Rego-Park/9972-66th-Rd-11374/unit-5F/home/169773392,40.72761420000001,-73.8546583,71.0,635,14150,112,768,45,35,20,1,1,102,444.0,44189.0,48499.11,20,13,0.12651244711222312,19,0.368582152099024,3.0
