Method,R^2,Adjusted R^2,MAE,MSE,RMSE,HuberLoss,logcosh,Percent_Error,ColsList,sigmoid % Error,Accuracy,colslist
Linear Regressor,0.029099800457390468,0.0003454671264424558,0.7834541854357993,0.99602457577869,0.9980103084531191,923.4803284466606,726.3739447977042,0.8150375939849624,,0.844110275689223,2.91,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')"
XGBoost_Regressor,0.31912302996744646,0.10138885070831594,0.6328300622603744,0.6984962981299618,0.8357609096685259,658.3979321703684,529.3450650882952,0.7483709273182957,,0.7839598997493734,31.91,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')"
Random Regressor,0.3317117892684852,0.10958616458231896,0.6207465160092628,0.6855817744247404,0.8279986560524966,643.6932728929515,516.7068577194756,0.7393483709273183,,0.7764411027568923,33.17,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')"
knn,0.25570434447703827,0.06491576281894484,0.6574005839348166,0.763556094535178,0.8738169685553022,719.2274003702519,571.5773376028179,0.7614035087719299,,0.7849624060150376,25.57,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')"
svm,-0.028692802502590764,0.0003219338531924576,0.7641831570243879,1.0553127012456323,1.0272841385155482,946.6834401422786,730.1492768311707,0.7884711779448621,,0.7989974937343358,-2.87,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')"
Linear Regressor,0.22506978668842714,0.049703252663990116,0.6827240308785724,0.7949833951371797,0.891618413413036,740.0301718426543,589.1792954354511,0.7934837092731829,,0.8175438596491228,22.51,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')"
XGBoost_Regressor,0.6254680892508879,0.3905990960633968,0.4283314810001019,0.3842238241327038,0.6198579064049307,364.894766690101,300.24344111705494,0.6120300751879699,,0.6551378446115288,62.55,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')"
Random Regressor,0.6888592702141265,0.4739995109211437,0.39018636974465504,0.319192244000405,0.5649710116460888,309.89535453542874,259.52722439235015,0.5619047619047619,,0.6080200501253132,68.89,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')"
knn,0.6453796496763947,0.4159290637949564,0.41667317390429137,0.36379700422345845,0.6031558705869142,349.364462901525,289.8680181835015,0.5939849624060151,,0.6300751879699248,64.54,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')"
svm,0.12607865640449611,0.014907771202771758,0.6546800269205176,0.8965361588438457,0.9468559335209584,793.3167413085869,607.7838436755344,0.7609022556390977,,0.7674185463659148,12.61,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')"
