Method,R^2,Adjusted R^2,MAE,MSE,RMSE,HuberLoss,logcosh,Percent_Error,ColsList,Accuracy,sigmoid % Error
Linear Regressor,0.021131300643820072,-5.5000229504553744e-05,0.48798799304323154,0.3778447157095873,0.6146907480266701,371.0345266023666,324.7180419663999,0.7869674185463659,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')",2.11,0.8065162907268171
XGBoost_Regressor,0.3020554237047397,0.09078150180881228,0.39408535439160525,0.2694076030674809,0.5190448950403818,262.161427929016,232.01957259226884,0.7358395989974937,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')",30.21,0.7568922305764411
Random Regressor,0.3022070944833761,0.09087319676087902,0.39399260019050963,0.26934905793035163,0.5189884949884261,262.1245478046706,231.95971892775856,0.7333333333333333,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')",30.22,0.7568922305764411
knn,0.2256004399598055,0.0504193395228576,0.4198610739159243,0.298919335965556,0.5467351607181999,291.6234595090018,256.6170378941614,0.7508771929824561,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')",22.56,0.7739348370927318
svm,-14.132385577059987,199.82403324876773,2.1950844511098055,5.841122440765265,2.4168414182079188,4499.4134007642415,3134.100642179814,0.9729323308270676,"Index(['ZIP_OR_POSTAL_CODE'], dtype='object')",-1413.24,0.9924812030075187
Linear Regressor,0.2653006218169187,0.06945107096047631,0.42057770984542103,0.2835950090795436,0.5325363922583541,277.9902739640386,248.5874577111697,0.7729323308270677,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')",26.53,0.7854636591478696
XGBoost_Regressor,0.7243832983390237,0.5242539853652464,0.22928951544736975,0.10638844040309055,0.3261724090156777,98.40172812734963,90.42827942245933,0.5463659147869674,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')",72.44,0.5994987468671679
Random Regressor,0.7186167369527057,0.5159244825147274,0.23399950795950133,0.10861434133246779,0.32956689963111857,102.19609843608669,93.95579211100784,0.5503759398496241,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')",71.86,0.6095238095238096
knn,0.7049088131703869,0.4963913108239232,0.24400482962707729,0.11390561948642815,0.33749906590452683,107.21382624773032,98.95740250903918,0.5754385964912281,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')",70.49,0.6200501253132832
svm,-1.2461766302002397,1.5535113705584873,0.7505440167428407,0.8670273866451528,0.9311430538027724,844.1059928205716,671.5482323145395,0.8776942355889724,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS'], dtype='object')",-124.62,0.9042606516290727
