#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
1,10162,"40.769298, -73.949942","New York, New York","1,726","1,51,834.77",#1
2,10028,"40.776865, -73.954721","New York, New York","44,987","1,26,067.69",#2
3,10128,"40.781656, -73.950281","New York, New York","59,856","1,22,356.52",#3
4,10031,"40.825857, -73.949451","New York, New York","60,221","1,01,100.03",#5
5,10009,"40.726622, -73.978955","New York, New York","58,595","1,00,687.04",#6
6,10032,"40.839194, -73.942591","New York, New York","63,842","97,879.45",#7
7,11372,"40.751706, -73.883561","Jackson Heights, New York","71,308","97,325.47",#8
8,10016,"40.744983, -73.978262","New York, New York","51,217","93,367.31",#9
9,10003,"40.731856, -73.989145","New York, New York","53,673","93,255.87",#10
10,10002,"40.715952, -73.985870","New York, New York","84,870","91,610.40",#11
11,10026,"40.802320, -73.952943","New York, New York","30,377","91,152.04",#12
12,10023,"40.775394, -73.982197","New York, New York","62,206","90,007.70",#13
13,10025,"40.797958, -73.964917","New York, New York","97,086","88,306.24",#14
14,10453,"40.852779, -73.912332","Bronx, New York","76,775","87,970.27",#15
15,10030,"40.818492, -73.943283","New York, New York","25,847","85,824.24",#16
16,10021,"40.769742, -73.961653","New York, New York","1,02,078","82,704.42",#17
17,11226,"40.646430, -73.956866","Brooklyn, New York","1,06,154","81,064.34",#18
18,10029,"40.792245, -73.945230","New York, New York","75,390","80,506.67",#19
19,10012,"40.725639, -73.998090","New York, New York","26,000","80,124.51",#20
20,10033,"40.849124, -73.935956","New York, New York","58,259","78,867.63",#21
21,10040,"40.858134, -73.929031","New York, New York","46,599","75,283.14",#22
22,11104,"40.744515, -73.920457","Sunnyside, New York","29,506","74,459.01",#23
23,10452,"40.837763, -73.923314","Bronx, New York","72,138","74,380.42",#24
24,10011,"40.741844, -74.000711","New York, New York","46,669","71,113.64",#25
25,10039,"40.826296, -73.937053","New York, New York","21,737","70,988.68",#26
26,10456,"40.830877, -73.907954","Bronx, New York","76,656","70,924.40",#27
27,10010,"40.739122, -73.982363","New York, New York","26,408","70,827.70",#28
28,10468,"40.868093, -73.899730","Bronx, New York","78,309","70,721.85",#29
29,10022,"40.758615, -73.967752","New York, New York","30,642","68,953.71",#30
30,10037,"40.813159, -73.937352","New York, New York","16,984","65,200.97",#31
31,10458,"40.862831, -73.886395","Bronx, New York","77,840","62,296.26",#32
32,11103,"40.762634, -73.913156","Astoria, New York","44,321","62,111.19",#33
33,11213,"40.671034, -73.936357","Brooklyn, New York","65,440","61,712.16",#34
34,11373,"40.737347, -73.878716","Elmhurst, New York","1,05,723","60,548.99",#36
35,10457,"40.846687, -73.898374","Bronx, New York","69,048","58,547.95",#37
36,10024,"40.786307, -73.970694","New York, New York","61,414","58,433.71",#38
37,10014,"40.733471, -74.007098","New York, New York","32,667","57,977.33",#39
38,11216,"40.680854, -73.949144","Brooklyn, New York","55,775","57,545.77",#40
39,11219,"40.632769, -73.996642","Brooklyn, New York","85,987","57,544.50",#41
40,10472,"40.829650, -73.869368","Bronx, New York","64,867","57,252.59",#42
41,11212,"40.662907, -73.912969","Brooklyn, New York","85,161","55,655.62",#43
42,11221,"40.691310, -73.927772","Brooklyn, New York","76,363","55,063.29",#44
43,10038,"40.709336, -74.002943","New York, New York","15,574","55,019.61",#45
44,10027,"40.811407, -73.953564","New York, New York","56,168","55,006.21",#46
45,11220,"40.641307, -74.016251","Brooklyn, New York","92,718","54,760.03",#47
46,11218,"40.643783, -73.975954","Brooklyn, New York","74,611","51,580.19",#49
47,10455,"40.814678, -73.908333","Bronx, New York","37,465","50,333.01",#51
48,11106,"40.762211, -73.931528","Astoria, New York","43,130","49,707.26",#52
49,10017,"40.752292, -73.972393","New York, New York","16,201","49,391.49",#53
50,10462,"40.842823, -73.858861","Bronx, New York","72,077","48,907.02",#55
51,11206,"40.702037, -73.942444","Brooklyn, New York","69,032","48,593.28",#56
52,11237,"40.704160, -73.921139","Brooklyn, New York","48,910","48,552.49",#57
53,11374,"40.726219, -73.861264","Rego Park, New York","44,189","48,499.11",#58
54,10019,"40.766331, -73.985013","New York, New York","36,012","48,230.17",#59
55,11230,"40.622104, -73.965118","Brooklyn, New York","88,933","48,088.05",#60
56,10034,"40.869208, -73.921929","New York, New York","41,756","47,051.23",#62
57,11204,"40.618675, -73.984893","Brooklyn, New York","74,880","46,953.11",#63
58,10459,"40.825558, -73.893156","Bronx, New York","39,080","46,368.65",#65
59,11217,"40.682306, -73.978099","Brooklyn, New York","35,353","46,140.97",#66
60,11233,"40.678089, -73.919867","Brooklyn, New York","61,955","46,112.06",#67
61,10013,"40.720067, -74.004829","New York, New York","25,042","45,458.99",#68
62,11211,"40.713507, -73.952578","Brooklyn, New York","85,089","44,840.17",#69
63,11225,"40.662236, -73.958951","Brooklyn, New York","63,774","44,803.32",#70
64,11102,"40.772884, -73.926295","Astoria, New York","36,291","44,416.74",#72
65,10280,"40.708501, -74.016828","New York, New York","6,614","44,080.87",#73
66,11419,"40.688685, -73.822882","South Richmond Hill, New York","48,867","43,351.49",#74
67,11238,"40.678424, -73.963874","Brooklyn, New York","48,965","42,063.29",#75
68,11355,"40.750123, -73.820977","Flushing, New York","83,281","40,980.07",#76
69,10044,"40.762050, -73.949933","New York, New York","9,520","39,391.64",#78
70,10451,"40.822092, -73.922612","Bronx, New York","40,961","39,106.39",#79
71,11368,"40.749407, -73.852780","Corona, New York","98,841","38,864.33",#80
72,11210,"40.628049, -73.946278","Brooklyn, New York","62,308","38,833.14",#81
73,11203,"40.649411, -73.934397","Brooklyn, New York","84,498","38,695.54",#82
74,10463,"40.880678, -73.906540","Bronx, New York","65,576","38,449.34",#83
75,11214,"40.598668, -73.996212","Brooklyn, New York","83,546","38,227.99",#85
76,11223,"40.597427, -73.973039","Brooklyn, New York","77,691","37,104.95",#88
77,11229,"40.601293, -73.944493","Brooklyn, New York","80,554","36,919.61",#89
78,10036,"40.759614, -73.991148","New York, New York","18,751","36,429.01",#90
79,11415,"40.708229, -73.827867","Kew Gardens, New York","20,956","35,355.55",#92
80,11435,"40.701408, -73.809817","Jamaica, New York","53,877","35,207.72",#94
81,11224,"40.577257, -73.989762","Brooklyn, New York","51,205","35,066.79",#95
82,11416,"40.684614, -73.849509","Ozone Park, New York","23,668","34,977.35",#96
83,11377,"40.744813, -73.905122","Woodside, New York","88,339","34,536.25",#97
84,10454,"40.805528, -73.916632","Bronx, New York","34,976","33,618.50",#101
85,10466,"40.891039, -73.847226","Bronx, New York","68,787","33,497.36",#102
86,10467,"40.877420, -73.872597","Bronx, New York","94,342","33,219.75",#103
87,11201,"40.693682, -73.989693","Brooklyn, New York","47,746","33,114.98",#104
88,10460,"40.842724, -73.879745","Bronx, New York","53,707","33,064.79",#105
89,11369,"40.763513, -73.871961","East Elmhurst, New York","36,110","32,616.57",#106
90,11207,"40.670361, -73.893848","Brooklyn, New York","86,551","31,820.27",#110
91,11209,"40.622352, -74.030431","Brooklyn, New York","69,840","31,098.42",#113
92,11421,"40.693633, -73.858513","Woodhaven, New York","37,664","30,881.52",#114
93,11235,"40.583552, -73.947900","Brooklyn, New York","77,451","30,866.46",#115
94,11370,"40.765370, -73.893132","East Elmhurst, New York","43,142","30,152.15",#118
95,11215,"40.662688, -73.986740","Brooklyn, New York","63,001","27,309.38",#127
96,11236,"40.639761, -73.900640","Brooklyn, New York","96,301","27,271.95",#128
97,11228,"40.616863, -74.013196","Brooklyn, New York","41,172","27,177.25",#129
98,10475,"40.875266, -73.826037","Bronx, New York","38,086","27,132.60",#130
99,11205,"40.696771, -73.967061","Brooklyn, New York","35,622","26,893.82",#131
100,11375,"40.722975, -73.843179","Forest Hills, New York","70,204","26,784.05",#132
101,11385,"40.700671, -73.889433","Ridgewood, New York","97,524","26,384.56",#134
102,10473,"40.817685, -73.858576","Bronx, New York","56,166","26,210.61",#136
103,10001,"40.750722, -73.997276","New York, New York","17,310","26,111.88",#137
104,11432,"40.715220, -73.793188","Jamaica, New York","57,045","26,065.18",#138
105,11417,"40.676342, -73.844595","Ozone Park, New York","28,607","25,964.14",#139
106,11105,"40.778997, -73.906847","Astoria, New York","42,117","25,956.30",#140
107,11428,"40.721050, -73.742212","Queens Village, New York","21,023","25,192.34",#144
108,11208,"40.669598, -73.871270","Brooklyn, New York","87,165","24,992.88",#146
109,11354,"40.768208, -73.827403","Flushing, New York","54,329","24,948.16",#147
110,10469,"40.867849, -73.845140","Bronx, New York","63,345","24,026.94",#150
111,10035,"40.795487, -73.929501","New York, New York","32,702","23,818.08",#154
112,11231,"40.677916, -74.005154","Brooklyn, New York","32,974","22,776.82",#162
113,11418,"40.700101, -73.835908","Richmond Hill, New York","36,571","22,694.55",#164
114,10282,"40.717017, -74.015566","New York, New York","1,574","22,144.94",#169
115,10461,"40.847409, -73.841403","Bronx, New York","49,808","21,734.34",#178
116,11222,"40.728367, -73.945427","Brooklyn, New York","39,360","21,724.29",#179
117,11436,"40.675266, -73.796570","Jamaica, New York","18,148","21,578.65",#182
118,11420,"40.673525, -73.817771","South Ozone Park, New York","45,498","21,430.46",#184
119,10006,"40.707970, -74.013610","New York, New York","1,447","21,409.87",#185
120,11232,"40.655827, -74.006829","Brooklyn, New York","27,723","20,953.79",#194
121,11429,"40.709681, -73.738399","Queens Village, New York","27,647","20,794.49",#198
122,11367,"40.730621, -73.822860","Flushing, New York","38,216","20,384.04",#203
123,10069,"40.775551, -73.989689","New York, New York","1,403","20,318.57",#204
124,11239,"40.644728, -73.879186","Brooklyn, New York","14,620","19,900.74",#211
125,11434,"40.676808, -73.776425","Jamaica, New York","59,142","19,683.46",#217
126,11412,"40.696878, -73.760260","Saint Albans, New York","37,452","19,681.64",#218
127,11358,"40.760467, -73.796418","Flushing, New York","38,647","19,661.60",#219
128,11423,"40.717252, -73.768879","Hollis, New York","31,240","19,366.77",#223
129,10007,"40.713973, -74.008336","New York, New York","3,522","19,229.09",#228
130,10550,"40.905448, -73.835253","Mount Vernon, New York","38,284","18,973.40",#230
131,10470,"40.900965, -73.863998","Bronx, New York","15,780","18,653.90",#235
132,11366,"40.727929, -73.793074","Fresh Meadows, New York","13,366","18,341.01",#239
133,11433,"40.698135, -73.787009","Jamaica, New York","28,435","18,129.86",#242
134,11411,"40.694307, -73.735948","Cambria Heights, New York","21,282","17,687.64",#254
135,11365,"40.738856, -73.792528","Fresh Meadows, New York","41,566","17,380.05",#263
136,10705,"40.919705, -73.889928","Yonkers, New York","38,115","17,061.90",#272
137,11427,"40.729722, -73.749800","Queens Village, New York","23,014","15,531.36",#316
138,11379,"40.715488, -73.879490","Middle Village, New York","28,984","15,242.36",#324
139,11361,"40.764370, -73.771869","Bayside, New York","29,206","15,180.72",#326
140,11692,"40.593163, -73.793803","Arverne, New York","15,893","15,061.65",#332
141,10701,"40.945250, -73.881145","Yonkers, New York","63,715","15,054.57",#333
142,10553,"40.908502, -73.821554","Mount Vernon, New York","10,102","14,898.05",#336
143,11004,"40.745809, -73.711240","Glen Oaks, New York","14,682","14,388.66",#354
144,10018,"40.754969, -73.992126","New York, New York","4,255","14,250.83",#362
145,10308,"40.551236, -74.150961","Staten Island, New York","26,451","14,230.06",#364
146,11357,"40.786415, -73.810924","Whitestone, New York","39,491","14,136.10",#369
147,11550,"40.702731, -73.623226","Hempstead, New York","59,022","13,976.06",#376
148,10703,"40.957236, -73.881126","Yonkers, New York","20,410","13,884.55",#380
149,10302,"40.630820, -74.137841","Staten Island, New York","16,406","13,875.40",#382
150,11378,"40.724744, -73.909639","Maspeth, New York","34,053","13,268.80",#392
151,11356,"40.784810, -73.841165","College Point, New York","20,444","13,186.78",#396
152,11691,"40.600774, -73.757824","Far Rockaway, New York","56,184","13,164.72",#397
153,11413,"40.669293, -73.750553","Springfield Gardens, New York","39,827","13,046.46",#402
154,10310,"40.632516, -74.116461","Staten Island, New York","22,852","12,829.03",#413
155,11694,"40.576906, -73.846381","Rockaway Park, New York","19,278","12,713.02",#418
156,14201,"42.896227, -78.886477","Buffalo, New York","13,609","12,470.26",#428
157,11364,"40.745620, -73.757537","Oakland Gardens, New York","34,539","12,340.99",#439
158,11414,"40.658217, -73.844820","Howard Beach, New York","28,121","12,292.73",#444
159,11360,"40.782352, -73.780749","Bayside, New York","19,350","12,040.46",#456
160,11005,"40.756578, -73.714178","Floral Park, New York","2,195","12,029.65",#458
161,11003,"40.699176, -73.706166","Elmont, New York","40,507","11,863.18",#467
162,10005,"40.705390, -74.008988","New York, New York",884,"11,701.01",#474
163,14222,"42.919236, -78.877343","Buffalo, New York","14,365","11,664.08",#476
164,11426,"40.736619, -73.723610","Bellerose, New York","18,727","11,552.09",#478
165,10552,"40.924460, -73.826115","Mount Vernon, New York","19,948","11,540.74",#479
166,14213,"42.918183, -78.892479","Buffalo, New York","26,080","11,537.77",#480
167,12210,"42.657569, -73.757660","Albany, New York","9,492","11,492.07",#484
168,14208,"42.914225, -78.851150","Buffalo, New York","13,207","11,397.61",#491
169,10465,"40.826285, -73.822762","Bronx, New York","42,500","11,299.91",#497
170,10805,"40.897721, -73.779258","New Rochelle, New York","17,957","10,969.42",#526
171,11561,"40.589061, -73.651049","Long Beach, New York","39,582","10,930.38",#529
172,10304,"40.603589, -74.102477","Staten Island, New York","38,972","10,617.85",#551
173,10704,"40.919729, -73.862651","Yonkers, New York","29,158","10,377.31",#569
174,10801,"40.917570, -73.784858","New Rochelle, New York","36,322","10,374.42",#571
175,14619,"43.136082, -77.648985","Rochester, New York","14,754","10,354.31",#573
176,10301,"40.627456, -74.094407","Staten Island, New York","38,805","10,327.23",#576
177,10606,"41.020949, -73.775986","White Plains, New York","15,733","10,282.38",#581
178,14621,"43.186402, -77.601255","Rochester, New York","35,977","9,959.16",#598
179,11563,"40.657306, -73.674147","Lynbrook, New York","23,231","9,882.81",#605
180,11010,"40.700778, -73.675686","Franklin Square, New York","24,778","9,804.45",#613
181,14215,"42.934353, -78.809741","Buffalo, New York","44,484","9,690.50",#624
182,11501,"40.746062, -73.639285","Mineola, New York","19,111","9,664.43",#629
183,11580,"40.674900, -73.702154","Valley Stream, New York","37,759","9,630.82",#633
184,14607,"43.150826, -77.586219","Rochester, New York","16,297","9,341.99",#656
185,12307,"42.806322, -73.934477","Schenectady, New York","6,843","9,169.28",#667
186,11001,"40.721416, -73.707982","Floral Park, New York","25,511","9,097.47",#674
187,11101,"40.746970, -73.937530","Long Island City, New York","25,595","9,029.74",#681
188,14613,"43.182283, -77.639548","Rochester, New York","15,078","8,980.03",#685
189,10305,"40.596691, -74.074866","Staten Island, New York","38,450","8,962.46",#686
190,13203,"43.061009, -76.134973","Syracuse, New York","15,435","8,881.07",#696
191,11234,"40.612540, -73.894255","Brooklyn, New York","86,898","8,846.37",#703
