PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,YEAR_BUILT,URL_(SEE_http://www.redfin.com/buy-a-home/comparative-market-analysis_FOR_INFO_ON_PRICING),LATITUDE,LONGITUDE,AGE,CITY numeric
Condo/Co-op,REGO PARK,NY,11374,169000.0,0.0,1.0,65-38 Owners Corp,1352.9759036144578,1950.0,http://www.redfin.com/NY/Flushing/65-38-Booth-St-11374/unit-1E/home/170231919,40.726787,-73.858789,71.0,635
Condo/Co-op,ROCKAWAY,NY,11694,169900.0,0.0,1.0,Rockaway,1352.9759036144578,1963.0,http://www.redfin.com/NY/Rockaway-Park/130-Beach-121st-St-11694/unit-4A/home/59307401,40.5766006,-73.8401978,58.0,609
Condo/Co-op,QUEENS VILLAGE,NY,11427,175000.0,1.0,1.0,Hilltop Village,943.4822134387351,1950.0,http://www.redfin.com/NY/Queens-Village/87-40-Francis-Lewis-Blvd-11427/unit-B-42/home/148125040,40.7224173,-73.7616979,71.0,1013
Condo/Co-op,YONKERS,NY,10705,128500.0,1.0,1.0,Yonkers,943.4822134387351,1956.0,http://www.redfin.com/NY/Yonkers/530-Riverdale-Ave-10705/unit-5K/home/168984878,40.9140754,-73.9019492,65.0,555
Condo/Co-op,BRONX,NY,10467,155000.0,1.0,1.0,Bronx,943.4822134387351,1955.0,http://www.redfin.com/NY/The-Bronx/3176-Decatur-Ave-10467/unit-4G/home/44764017,40.8731518,-73.875766,66.0,393
Condo/Co-op,BROOKLYN,NY,11203,150000.0,1.0,1.0,East Flatbush,943.4822134387351,1956.0,http://www.redfin.com/NY/Brooklyn/10-E-43rd-St-11203/unit-5j/home/160395239,40.6555346,-73.9379282,65.0,624
Condo/Co-op,BRONX,NY,10460,129000.0,1.0,1.0,Bronx,943.4822134387351,1965.0,http://www.redfin.com/NY/Bronx/1480-Thieriot-Ave-10460/unit-4B/home/144911632,40.8372687,-73.8651373,56.0,393
Condo/Co-op,BROOKLYN,NY,11229,149000.0,1.0,1.0,Brooklyn,943.4822134387351,1955.0,http://www.redfin.com/NY/Brooklyn/2251-Knapp-St-11229/unit-3F/home/170194867,40.598354,-73.93351109999998,66.0,624
Condo/Co-op,STATEN ISLAND,NY,10305,175000.0,0.0,1.0,Fort Wadsworth,1352.9759036144578,1965.0,http://www.redfin.com/NY/Staten-Island/20-Cliff-St-10305/unit-3R/home/77417705,40.6109595,-74.060351,56.0,938
Condo/Co-op,BRONX,NY,10467,149000.0,1.0,1.0,Bronx,943.4822134387351,1926.0,http://www.redfin.com/NY/The-Bronx/91-E-208th-St-10467/unit-5G/home/44765349,40.8788175,-73.8814623,95.0,393
Condo/Co-op,YONKERS,NY,10704,85000.0,0.0,1.0,Yonkers,1352.9759036144578,1967.0,http://www.redfin.com/NY/Yonkers/365-Bronx-River-Rd-10704/unit-6C/home/21826191,40.91250720000001,-73.85238570000001,54.0,555
Condo/Co-op,YONKERS,NY,10704,140000.0,1.0,1.0,Yonkers,943.4822134387351,1960.0,http://www.redfin.com/NY/Yonkers/20-Secor-Pl-10704/unit-4-N/home/103507746,40.91279829999999,-73.8557218,61.0,555
Condo/Co-op,BRONX,NY,10471,85000.0,0.0,1.0,Bronx,1352.9759036144578,1938.0,http://www.redfin.com/NY/The-Bronx/6485-Broadway-10471/unit-7b/home/170173986,40.9053593,-73.896659,83.0,393
Condo/Co-op,BRONX,NY,10467,160000.0,2.0,1.0,Bronx,1002.4694280078895,1924.0,http://www.redfin.com/NY/The-Bronx/3279-Hull-Ave-10467/unit-15/home/44807206,40.8763215,-73.8749929,97.0,393
Condo/Co-op,YONKERS,NY,10705,167500.0,2.0,1.0,Yonkers,1002.4694280078895,1956.0,http://www.redfin.com/NY/Yonkers/29-Abeel-St-10705/unit-4E/home/170163956,40.915001,-73.903412,65.0,555
Condo/Co-op,JAMAICA,NY,11432,169000.0,1.0,1.0,Avalon Terrace,943.4822134387351,1965.0,http://www.redfin.com/NY/Jamaica/89-00-170th-St-11432/unit-8G/home/39947073,40.7092156,-73.7912209,56.0,486
Condo/Co-op,BROOKLYN,NY,11236,154900.0,1.0,1.0,Brooklyn,943.4822134387351,1988.0,http://www.redfin.com/NY/Brooklyn/10839-Seaview-Ave-11236/unit-32A/home/40894932,40.639982,-73.881744,33.0,624
Condo/Co-op,BRONX,NY,10465,80000.0,2.0,1.0,Bronx,1002.4694280078895,1925.0,http://www.redfin.com/NY/The-Bronx/61-Edgewater-Park-10465/unit-61E/home/44601590,40.821824,-73.811171,96.0,393
Condo/Co-op,BRONX,NY,10461,159000.0,1.0,1.0,Bronx,943.4822134387351,1963.0,http://www.redfin.com/NY/The-Bronx/3121-Middletown-Rd-10461/unit-3G/home/170149168,40.8455961,-73.8264218,58.0,393
Condo/Co-op,BRONX,NY,10460,110000.0,1.0,1.0,Bronx,943.4822134387351,1914.0,http://www.redfin.com/NY/The-Bronx/1898-Longfellow-Ave-10460/unit-E2/home/170136931,40.8387931,-73.8821973,107.0,393
Condo/Co-op,BRONX,NY,10467,155000.0,1.0,1.0,Bronx,943.4822134387351,1960.0,http://www.redfin.com/NY/The-Bronx/3176-Decatur-Ave-10467/unit-1A/home/44765899,40.8731518,-73.875766,61.0,393
Condo/Co-op,FAR ROCKAWAY,NY,11691,154900.0,2.0,1.0,Nameoke Court Condominiu,1002.4694280078895,1961.0,http://www.redfin.com/NY/Far-Rockaway/10-11-Nameoke-St-11691/unit-4F/home/20678564,40.6030873,-73.7490197,60.0,858
Condo/Co-op,YONKERS,NY,10705,97000.0,1.0,1.0,Yonkers,943.4822134387351,1953.0,http://www.redfin.com/NY/Yonkers/501-Riverdale-Ave-10705/unit-6H/home/54974138,40.9151414,-73.90240849999998,68.0,555
Condo/Co-op,BRONX,NY,10472,120000.0,2.0,1.0,Bronx,1002.4694280078895,1927.0,http://www.redfin.com/NY/The-Bronx/1160-Colgate-Ave-10472/unit-1D/home/170105839,40.8279037,-73.881623,94.0,393
Condo/Co-op,BRONX,NY,10467,65000.0,0.0,1.0,Bronx,1352.9759036144578,1962.0,http://www.redfin.com/NY/The-Bronx/814-Tilden-St-10467/unit-1A/home/44805486,40.8767393,-73.86146490000002,59.0,393
Condo/Co-op,STATEN ISLAND,NY,10301,135000.0,0.0,1.0,Clove Lake,1352.9759036144578,1968.0,http://www.redfin.com/NY/Unknown/1100-Clove-Rd-10301/unit-7-J/home/112343644,40.6189492,-74.1071576,53.0,938
Condo/Co-op,FLORAL PARK,NY,11001,169000.0,0.0,1.0,Floral Park /Bellerose,1352.9759036144578,1953.0,http://www.redfin.com/NY/Floral-Park/55-Tulip-Ave-11001/unit-72/home/21451974,40.726153,-73.7062926,68.0,782
Condo/Co-op,BRONX,NY,10456,149000.0,2.0,1.0,Bronx,1002.4694280078895,1927.0,http://www.redfin.com/NY/The-Bronx/1165-Fulton-Ave-10456/unit-SL/home/44806998,40.8295018,-73.9056237,94.0,393
Condo/Co-op,YONKERS,NY,10704,139000.0,1.0,1.0,Yonkers,943.4822134387351,1970.0,http://www.redfin.com/NY/Yonkers/245-Bronx-River-Rd-10704/unit-8G/home/21656596,40.90915579999999,-73.8555185,51.0,555
Condo/Co-op,BRONX,NY,10465,110000.0,2.0,1.0,Bronx,1002.4694280078895,1920.0,http://www.redfin.com/NY/The-Bronx/43-Edgewater-Park-10465/unit-B/home/170037861,40.8225199,-73.8111246,101.0,393
Condo/Co-op,BROOKLYN,NY,11229,159500.0,1.0,1.0,Brooklyn,943.4822134387351,1932.0,http://www.redfin.com/NY/Brooklyn/1717-E-14th-St-11229/unit-J/home/170035229,40.6077014,-73.958782,89.0,624
Condo/Co-op,YONKERS,NY,10705,110000.0,1.0,1.0,Yonkers,943.4822134387351,1956.0,http://www.redfin.com/NY/Yonkers/491-Riverdale-Ave-10705/unit-4E/home/170033566,40.9156924,-73.9025307,65.0,555
Condo/Co-op,BRONX,NY,10451,115000.0,1.0,1.0,Bronx,943.4822134387351,1925.0,http://www.redfin.com/NY/The-Bronx/400-E-161-St-10451/unit-3A/home/170015270,40.8239768,-73.91366690000002,96.0,393
Condo/Co-op,BRONX,NY,10451,115000.0,1.0,1.0,Bronx,943.4822134387351,1925.0,http://www.redfin.com/NY/The-Bronx/400-E-161-St-10451/unit-5A/home/170015269,40.8239768,-73.91366690000002,96.0,393
Condo/Co-op,YONKERS,NY,10705,119000.0,1.0,1.0,Yonkers,943.4822134387351,1956.0,http://www.redfin.com/NY/Yonkers/530-Riverdale-Ave-10705/unit-2E/home/40405181,40.9140754,-73.9019492,65.0,555
Condo/Co-op,FLUSHING,NY,11367,167888.0,2.0,1.0,Mainstay 1,1002.4694280078895,1955.0,http://www.redfin.com/NY/Unknown/144-55-Melbourne-Ave-11367/unit-1A/home/144713123,40.7349131,-73.8233024,66.0,608
Condo/Co-op,STATEN ISLAND,NY,10301,128000.0,0.0,1.0,Clove Lake,1352.9759036144578,1968.0,http://www.redfin.com/NY/Staten-Island/1100-Clove-Rd-10301/unit-9F/home/77421897,40.6189484,-74.1071576,53.0,938
Condo/Co-op,HOWARD BEACH,NY,11414,168888.0,1.0,1.0,Lindenwood,943.4822134387351,1966.0,http://www.redfin.com/NY/Jamaica/86-10-151st-Ave-11414/unit-3A/home/20646520,40.667896,-73.848862,55.0,824
Condo/Co-op,BROOKLYN,NY,11236,158000.0,1.0,1.0,Brook Club,943.4822134387351,1986.0,http://www.redfin.com/NY/Brooklyn/1230-E-82nd-St-11236/unit-81/home/40888173,40.6306675,-73.90594490000002,35.0,624
Condo/Co-op,FLUSHING,NY,11367,158888.0,1.0,1.0,Mainstay,943.4822134387351,1950.0,http://www.redfin.com/NY/Flushing/144-60-Gravett-Rd-11367/unit-2B/home/63514423,40.7352898,-73.82249909999999,71.0,608
Condo/Co-op,BRONX,NY,10468,150000.0,1.0,1.0,Bronx,943.4822134387351,1960.0,http://www.redfin.com/NY/The-Bronx/3065-Sedgwick-Ave-10468/unit-4H/home/44800951,40.8766081,-73.8998497,61.0,393
Condo/Co-op,NEW YORK,NY,10019,169900.0,0.0,1.0,New York,1352.9759036144578,1929.0,http://www.redfin.com/NY/New-York/353-W-56th-St-10019/unit-3J/home/45262793,40.767207,-73.985702,92.0,591
Condo/Co-op,BRONX,NY,10471,164999.0,1.0,1.0,Bronx,943.4822134387351,1954.0,http://www.redfin.com/NY/The-Bronx/5601-Riverdale-Ave-10471/unit-4K/home/53615731,40.9048823,-73.9051113,67.0,393
Condo/Co-op,YONKERS,NY,10704,75000.0,0.0,1.0,Yonkers,1352.9759036144578,1920.0,http://www.redfin.com/NY/Yonkers/61-Bronx-River-Rd-10704/unit-2I/home/25722093,40.9029789,-73.8602666,101.0,555
Condo/Co-op,BRONX,NY,10463,175000.0,1.0,1.0,Riverdale,943.4822134387351,1963.0,http://www.redfin.com/NY/The-Bronx/601-Kappock-St-10463/unit-6F/home/169918453,40.87900629999999,-73.9161022,58.0,393
Condo/Co-op,BRONX,NY,10460,165000.0,2.0,1.0,Bronx,1002.4694280078895,1960.0,http://www.redfin.com/NY/The-Bronx/1480-Thieriot-Ave-10460/unit-6c/home/160765918,40.8373634,-73.8651998,61.0,393
Condo/Co-op,BRONX,NY,10471,175000.0,0.0,1.0,Riverdale,1352.9759036144578,1960.0,http://www.redfin.com/NY/The-Bronx/5800-Arlington-Ave-10471/unit-16N/home/44763495,40.9080135,-73.9055787,61.0,393
Condo/Co-op,KEW GARDENS,NY,11415,165000.0,0.0,1.0,Park Lane South,1352.9759036144578,1974.0,http://www.redfin.com/NY/Kew-Gardens/118-18-Union-Tpke-11415/unit-2J/home/169899548,40.7124154,-73.8339574,47.0,779
Condo/Co-op,FAR ROCKAWAY,NY,11691,129000.0,1.0,1.0,-,943.4822134387351,1960.0,http://www.redfin.com/NY/Far-Rockaway/1040-Neilson-St-11691/unit-1B/home/169883807,40.60437570000001,-73.74750990000003,61.0,858
Condo/Co-op,YONKERS,NY,10705,139000.0,1.0,1.0,Yonkers,943.4822134387351,1956.0,http://www.redfin.com/NY/Yonkers/29-Abeel-St-10705/unit-1G/home/55513423,40.9152575,-73.9033523,65.0,555
Condo/Co-op,REGO PARK,NY,11374,169000.0,0.0,1.0,Alderton,1352.9759036144578,1950.0,http://www.redfin.com/NY/Rego-Park/7445-Yellowstone-Blvd-11374/unit-3J/home/20627079,40.7152904,-73.8585123,71.0,635
Single Family Residential,STATEN ISLAND,NY,10306,139900.0,2.0,1.0,Oakwood,1002.4694280078895,1930.0,http://www.redfin.com/NY/Staten-Island/148-Fox-Beach-Ave-10306/home/56081911,40.5534144,-74.11577199999998,91.0,938
Condo/Co-op,BRONX,NY,10458,139000.0,1.0,1.0,Bronx,943.4822134387351,1939.0,http://www.redfin.com/NY/Bronx/2962-Decatur-Ave-10458/unit-3H/home/59854453,40.8683635,-73.8832079,82.0,393
Condo/Co-op,BRONX,NY,10468,160000.0,1.0,1.0,Bronx,943.4822134387351,1951.0,http://www.redfin.com/NY/The-Bronx/5-Fordham-Hill-Oval-10468/unit-11D/home/44799621,40.8653295,-73.90739,70.0,393
Condo/Co-op,NEW YORK,NY,10006,8950.0,2.0,2.5,New York,1524.2530864197531,2016.0,http://www.redfin.com/NY/New-York/50-West-St-10006/unit-35A/home/113673072,40.7078252,-74.01504759999997,5.0,591
Condo/Co-op,BRONX,NY,10471,167500.0,1.0,1.0,Riverdale,943.4822134387351,1950.0,http://www.redfin.com/NY/The-Bronx/5621-Netherland-Ave-10471/unit-6E/home/169653653,40.9050385,-73.9064185,71.0,393
Condo/Co-op,BRIARWOOD,NY,11435,159000.0,1.0,1.0,Parkway Village,943.4822134387351,1948.0,http://www.redfin.com/NY/Jamaica/147-35-Village-Rd-11435/unit-35GC/home/20634630,40.7170497,-73.81281340000002,73.0,681
Single Family Residential,STATEN ISLAND,NY,10306,120000.0,2.0,1.0,Staten Island,1002.4694280078895,1925.0,http://www.redfin.com/NY/Staten-Island/134-Freeborn-St-10306/home/56017734,40.57584600000001,-74.09096600000002,96.0,938
Condo/Co-op,YONKERS,NY,10704,130000.0,1.0,1.0,Yonkers,943.4822134387351,1954.0,http://www.redfin.com/NY/Yonkers/77-Bronx-River-Rd-10704/unit-2F/home/49748431,40.9037704,-73.85956379999998,67.0,555
Condo/Co-op,BRONX,NY,10456,145000.0,3.0,1.0,Bronx,1498.909090909091,1904.0,http://www.redfin.com/NY/The-Bronx/639-E-169th-St-10456/unit-4C/home/169650159,40.831707,-73.90096159999997,117.0,393
Condo/Co-op,BRONX,NY,10467,153000.0,1.0,1.0,Bronx,943.4822134387351,1928.0,http://www.redfin.com/NY/The-Bronx/2922-Barnes-Ave-10467/unit-3L/home/169648191,40.8685583,-73.8631566,93.0,393
Condo/Co-op,BRONX,NY,10463,149900.0,1.0,1.0,Riverdale,943.4822134387351,1962.0,http://www.redfin.com/NY/Bronx/609-Kappock-St-10463/unit-1B/home/44602418,40.8797736,-73.9161877,59.0,393
Condo/Co-op,BRONX,NY,10468,169999.0,1.0,1.0,Bronx,943.4822134387351,1941.0,http://www.redfin.com/NY/The-Bronx/2506-Davidson-Ave-10468/unit-1G/home/44765501,40.8644015,-73.90075490000002,80.0,393
Condo/Co-op,YONKERS,NY,10704,139000.0,1.0,1.0,Yonkers,943.4822134387351,1970.0,http://www.redfin.com/NY/Yonkers/255-Bronx-River-Rd-10704/unit-4N/home/53614826,40.9093232,-73.85537099999998,51.0,555
Condo/Co-op,BRONX,NY,10471,150000.0,0.0,1.0,Bronx,1352.9759036144578,1955.0,http://www.redfin.com/NY/The-Bronx/5601-Riverdale-Ave-10471/unit-4T/home/44799485,40.9048823,-73.9051113,66.0,393
Condo/Co-op,JAMAICA HILLS,NY,11432,110000.0,0.0,1.0,Saxony,1352.9759036144578,1930.0,http://www.redfin.com/NY/Jamaica/87-15-165th-St-11432/unit-5C/home/20631465,40.7103939,-73.7983509,91.0,898
Condo/Co-op,KEW GARDENS,NY,11415,164999.0,0.0,1.0,Park Lane South,1352.9759036144578,1974.0,http://www.redfin.com/NY/Kew-Gardens/118-18-Union-Tpke-11415/unit-5J/home/169569755,40.7124154,-73.8339574,47.0,779
Condo/Co-op,BROOKLYN,NY,11235,159999.0,1.0,1.0,Sheepshead Bay,943.4822134387351,1965.0,http://www.redfin.com/NY/Brooklyn/3845-Shore-Pkwy-11235/unit-3M/home/40654595,40.586901,-73.932949,56.0,624
Condo/Co-op,BRONX,NY,10467,125000.0,1.0,1.0,Bronx,943.4822134387351,1927.0,http://www.redfin.com/NY/The-Bronx/829-Adee-Ave-10467/unit-3N/home/169515820,40.8698328,-73.86225959999999,94.0,393
Condo/Co-op,YONKERS,NY,10704,119000.0,1.0,1.0,Yonkers,943.4822134387351,1960.0,http://www.redfin.com/NY/Yonkers/333-Bronx-River-Rd-10704/unit-617/home/58142987,40.9112066,-73.8538685,61.0,555
Condo/Co-op,BRONX,NY,10459,79999.0,2.0,1.0,Bronx,1002.4694280078895,1912.0,http://www.redfin.com/NY/The-Bronx/975-Union-10459/unit-34/home/169465009,40.8285039,-73.8918897,109.0,393
Condo/Co-op,BRONX,NY,10459,79999.0,2.0,1.0,Bronx,1002.4694280078895,1912.0,http://www.redfin.com/NY/The-Bronx/975-Union-10459/unit-20/home/169464891,40.8285039,-73.8918897,109.0,393
Condo/Co-op,BRONX,NY,10471,146900.0,1.0,1.0,Bronx,943.4822134387351,1949.0,http://www.redfin.com/NY/The-Bronx/5650-Netherland-Ave-10471/unit-2-C/home/167054931,40.905255,-73.906121,72.0,393
Condo/Co-op,BRONX,NY,10463,163000.0,1.0,1.0,Riverdale,943.4822134387351,1955.0,http://www.redfin.com/NY/The-Bronx/3636-Fieldston-Rd-10463/unit-2M/home/169432448,40.8868274,-73.9062668,66.0,393
Condo/Co-op,JAMAICA HILLS,NY,11432,129000.0,0.0,1.0,Saxony,1352.9759036144578,1950.0,http://www.redfin.com/NY/Unknown/Undisclosed-address-11432/home/144522932,40.71015300000001,-73.797972,71.0,898
Condo/Co-op,BRONX,NY,10468,165000.0,1.0,1.0,Bronx,943.4822134387351,1951.0,http://www.redfin.com/NY/The-Bronx/3-Fordham-Hill-Oval-10468/unit-7H/home/44800767,40.8646489,-73.9082109,70.0,393
Condo/Co-op,STATEN ISLAND,NY,10305,128900.0,0.0,1.0,Dongan Hills-Above Hylan,1352.9759036144578,1969.0,http://www.redfin.com/NY/Unknown/31-Vera-St-10305/unit-D/home/145384023,40.5849807,-74.0973116,52.0,938
Condo/Co-op,HOWARD BEACH,NY,11414,105000.0,0.0,1.0,Pembroke,1352.9759036144578,1965.0,http://www.redfin.com/NY/Howard-Beach/84-29-155th-Ave-11414/unit-5N/home/160409993,40.66519570000001,-73.8485628,56.0,824
Condo/Co-op,STATEN ISLAND,NY,10301,170000.0,1.0,1.0,St. George,943.4822134387351,1963.0,http://www.redfin.com/NY/Staten-Island/36-Hamilton-Ave-10301/unit-3G/home/77420724,40.6448994,-74.07879969999998,58.0,938
Condo/Co-op,BRONX,NY,10463,145000.0,0.0,1.0,Riverdale,1352.9759036144578,1960.0,http://www.redfin.com/NY/Bronx/2750-Johnson-Ave-10463/unit-3L/home/44653193,40.8801731,-73.91173,61.0,393
Multi-Family (2-4 Unit),OZONE PARK,NY,11417,140000.0,4.0,2.0,Ozone Park,1808.48,1925.0,http://www.redfin.com/NY/Jamaica/111-10-106th-St-11417/home/20728417,40.677293,-73.83371,96.0,729
Condo/Co-op,BRONX,NY,10462,120000.0,1.0,1.0,Bronx,943.4822134387351,1938.0,http://www.redfin.com/NY/The-Bronx/2160-Bronx-Park-E-10462/unit-4D/home/44764631,40.8548901,-73.86924259999998,83.0,393
